URLS,Binder,P.G,RAP,Graduação,Tipo de Mistura,Temperaturas,Lime,Cimento Portland,CO2 - Material,CO2 - Transport,CO2 - Production,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transport,NRPR Fuel - Production,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transport,NRPR Mat - Production,NRPR Mat - Total,SM - Material,SM - Transport,SM - Production,SM - Total
https://asphaltepd.org/epd/d/85Uo81/,3,67-22,34,dense,HMA,141-163,-,-,"16,83","7,07","24,86","48,76",315,94,434,843,1004,N/A,N/A,1004,310,N/A,0,310
https://asphaltepd.org/epd/d/YqUzR8/,4,67-22,34,dense,HMA,141-163,-,-,"22,55","7,81","24,86","55,22",426,104,434,964,1376,N/A,N/A,1376,306,N/A,0,306
https://asphaltepd.org/epd/d/4RURgb/,5,67-22,19,dense,HMA,141-163,-,-,"27,27","11,73","24,86","63,86",519,156,434,1108,1674,N/A,N/A,1674,173,N/A,0,173
https://asphaltepd.org/epd/d/1AU2pJ/,4,67-22,19,dense,HMA,149-177,-,-,"24,98","15,35","24,86","65,20",474,204,434,1112,1525,N/A,N/A,1525,174,N/A,0,174
https://asphaltepd.org/epd/d/DdUGdy/,2,67-22,35,dense,HMA,121-177,-,-,"15,57","3,73","29,35","48,65",291,49,136,476,922,N/A,N/A,922,313,N/A,0,313
https://asphaltepd.org/epd/d/j5UQlg/,4,76-22,34,dense,HMA,121-177,-,-,"28,32","4,67","29,35","62,34",519,62,136,717,1458,N/A,N/A,1458,309,N/A,0,309
https://asphaltepd.org/epd/d/6QU6Q6/,4,67-22,34,dense,HMA,121-177,-,-,"23,79","4,11","29,35","57,26",450,55,136,641,1458,N/A,N/A,1458,312,N/A,0,312
https://asphaltepd.org/epd/d/keUv83/,5,67-22,19,dense,HMA,121-177,-,-,"27,84","5,91","29,35","63,09",530,78,136,744,1711,N/A,N/A,1711,176,N/A,0,176
https://asphaltepd.org/epd/d/xPU5kK/,5,76-22,19,dense,WMA,ced-hin,-,-,"33,57","6,12","29,35","69,04",618,81,136,835,1734,N/A,N/A,1734,175,N/A,0,175
https://asphaltepd.org/epd/d/o8UK69/,5,76-22,19,dense,HMA,121-177,-,-,"33,15","5,83","29,35","68,32",610,77,136,823,1711,N/A,N/A,1711,176,N/A,0,176
https://asphaltepd.org/epd/d/9JUmdv/,5,76-22,19,dense,WMA,ced-hin,-,-,"33,56","6,12","29,35","69,03",617,81,136,834,1733,N/A,N/A,1733,175,N/A,0,175
https://asphaltepd.org/epd/d/BZUy9B/,5,76-22,19,dense,HMA,121-177,-,-,"39,12","6,52","29,35","75,00",731,87,136,953,1747,N/A,N/A,1747,175,N/A,0,175
https://asphaltepd.org/epd/d/qmU6Jj/,4,67-22,34,dense,HMA,121-177,-,-,"21,51","3,78","29,35","54,64",406,50,136,592,1309,N/A,N/A,1309,313,N/A,0,313
https://asphaltepd.org/epd/d/vZUPKL/,3,67-22,35,Not Reported,HMA,135-163,-,-,"16,53","2,60","25,58","44,72",310,35,446,790,986,N/A,N/A,986,318,N/A,0,318
https://asphaltepd.org/epd/d/keU1l7/,3,67-22,34,dense,HMA,149-177,-,-,"16,14","2,78","23,79","42,71",302,37,142,481,960,N/A,N/A,960,309,N/A,0,309
https://asphaltepd.org/epd/d/qmUXYG/,4,67-22,34,dense,HMA,149-177,-,-,"22,03","3,35","23,79","49,17",416,45,142,603,1343,N/A,N/A,1343,306,N/A,0,306
https://asphaltepd.org/epd/d/6QUKGO/,3,67-22,34,dense,HMA,149-177,-,-,"15,82","2,33","23,79","41,93",295,31,142,469,937,N/A,N/A,937,318,N/A,0,318
https://asphaltepd.org/epd/d/j5Ugpq/,4,67-22,19,dense,HMA,149-177,-,-,"26,16","6,00","23,79","55,95",497,80,142,719,1602,N/A,N/A,1602,174,N/A,0,174
