Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
"1"" Binder A/B C/D E ",Dothan Asphalt Plant ,Unmodified,3,67-22,34,-,-,-,-,densa,HMA,141-163,-,-,-,-,"16,83","7,07","24,86","48,76",315,94,434,843,1004,N/A,N/A,1004,310,N/A,0,310,https://asphaltepd.org/epd/d/85Uo81/
"1/2"" Leveling A/B C/D ",Dothan Asphalt Plant ,Unmodified,4,67-22,34,-,-,-,-,densa,HMA,141-163,-,-,-,-,"22,55","7,81","24,86","55,22",426,104,434,964,1376,N/A,N/A,1376,306,N/A,0,306,https://asphaltepd.org/epd/d/YqUzR8/
211135 ,Dothan Asphalt Plant ,Unmodified,5,67-22,19,-,-,-,-,densa,HMA,141-163,-,-,-,-,"27,27","11,73","24,86","63,86",519,156,434,1108,1674,N/A,N/A,1674,173,N/A,0,173,https://asphaltepd.org/epd/d/4RURgb/
211145 ,Dothan Asphalt Plant ,Unmodified,4,67-22,19,-,-,-,-,densa,HMA,149-177,-,-,-,-,"24,98","15,35","24,86","65,20",474,204,434,1112,1525,N/A,N/A,1525,174,N/A,0,174,https://asphaltepd.org/epd/d/1AU2pJ/
"424 1"" Binder ABCDE PG67-22   GH-0062-22 ",Tocwah Asphalt Plant ,Unmodified,2,67-22,35,-,-,-,-,densa,HMA,121-177,-,-,-,-,"15,57","3,73","29,35","48,65",291,49,136,476,922,N/A,N/A,922,313,N/A,0,313,https://asphaltepd.org/epd/d/DdUGdy/
"424 1/2"" Binder PG76-22   GH-0208-23 ",Tocwah Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene,4,76-22,34,-,-,-,-,densa,HMA,121-177,-,-,-,-,"28,32","4,67","29,35","62,34",519,62,136,717,1458,N/A,N/A,1458,309,N/A,0,309,https://asphaltepd.org/epd/d/j5UQlg/
"424 1/2"" Surface  Esal E   PG67-22    GH-0209-23 ",Tocwah Asphalt Plant ,Unmodified,4,67-22,34,-,-,-,-,densa,HMA,121-177,-,-,-,-,"23,79","4,11","29,35","57,26",450,55,136,641,1458,N/A,N/A,1458,312,N/A,0,312,https://asphaltepd.org/epd/d/6QU6Q6/
"424 1/2"" Surface Esal E PG67-22   GH-0212-23 ",Tocwah Asphalt Plant ,Unmodified,5,67-22,19,-,-,-,-,densa,HMA,121-177,-,-,-,-,"27,84","5,91","29,35","63,09",530,78,136,744,1711,N/A,N/A,1711,176,N/A,0,176,https://asphaltepd.org/epd/d/keUv83/
"424 1/2"" Surface PG76-22   GH-0210-23 W- Evotherm ",Tocwah Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s)*,5,76-22,19,-,-,-,-,densa,WMA,121-143,-,-,-,-,"33,57","6,12","29,35","69,04",618,81,136,835,1734,N/A,N/A,1734,175,N/A,0,175,https://asphaltepd.org/epd/d/xPU5kK/
"424 1/2"" Surface PG76-22   GH-0211-23 ",Tocwah Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene,5,76-22,19,-,-,-,-,densa,HMA,121-177,-,-,-,-,"33,15","5,83","29,35","68,32",610,77,136,823,1711,N/A,N/A,1711,176,N/A,0,176,https://asphaltepd.org/epd/d/o8UK69/
"424 1/2"" Surface PG76-22   GH-0213-23 W- Anova 1815 ",Tocwah Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s),5,76-22,19,-,-,-,-,densa,WMA,121-143,-,-,-,-,"33,56","6,12","29,35","69,03",617,81,136,834,1733,N/A,N/A,1733,175,N/A,0,175,https://asphaltepd.org/epd/d/9JUmdv/
"424 1/2"" Surface PG76-22   GH-0214-23 W- ACE XP Fiber ",Tocwah Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene,5,76-22,19,-,-,Aramid Fiber - SurfaceTech AceXP,< 1%,densa,HMA,121-177,-,-,-,-,"39,12","6,52","29,35","75,00",731,87,136,953,1747,N/A,N/A,1747,175,N/A,0,175,https://asphaltepd.org/epd/d/BZUy9B/
"424 3/4"" Binde ABCDE PG67-22   GH-0207-23 ",Tocwah Asphalt Plant ,Unmodified,4,67-22,34,-,-,-,-,densa,HMA,121-177,-,-,-,-,"21,51","3,78","29,35","54,64",406,50,136,592,1309,N/A,N/A,1309,313,N/A,0,313,https://asphaltepd.org/epd/d/qmU6Jj/
211155 ,Vance Asphalt Plant ,Unmodified,3,67-22,35,-,-,-,-,Não reportada,HMA,135-163,-,-,-,-,"16,53","2,60","25,58","44,72",310,35,446,790,986,N/A,N/A,986,318,N/A,0,318,https://asphaltepd.org/epd/d/vZUPKL/
"1"" Private ",Huntsville ,Unmodified,3,67-22,34,-,-,-,-,densa,HMA,149-177,-,-,-,-,"16,14","2,78","23,79","42,71",302,37,142,481,960,N/A,N/A,960,309,N/A,0,309,https://asphaltepd.org/epd/d/keU1l7/
"1/2"" Private ",Huntsville ,Unmodified,4,67-22,34,-,-,-,-,densa,HMA,149-177,-,-,-,-,"22,03","3,35","23,79","49,17",416,45,142,603,1343,N/A,N/A,1343,306,N/A,0,306,https://asphaltepd.org/epd/d/qmUXYG/
GH-0108-21 ,Huntsville ,Unmodified,3,67-22,34,-,-,-,-,densa,HMA,149-177,-,-,-,-,"15,82","2,33","23,79","41,93",295,31,142,469,937,N/A,N/A,937,318,N/A,0,318,https://asphaltepd.org/epd/d/6QUKGO/
GH-0161-21 ,Huntsville ,Unmodified,4,67-22,19,-,-,-,-,densa,HMA,149-177,-,-,-,-,"26,16","6,00","23,79","55,95",497,80,142,719,1602,N/A,N/A,1602,174,N/A,0,174,https://asphaltepd.org/epd/d/j5Ugpq/
