Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
HMA065-20 ,Harrison Asphalt ,5,5,70-22,-,Warm Mix Additive - Chemical*,< 1%,-,-,densa,HMA,157-185,-,-,-,-,"37,47","7,22","31,52","76,22",692,96,120,908,1934,N/A,N/,1934,0,N/A,0,0,https://asphaltepd.org/epd/d/LDUd9w/
HMA462-19 ,Harrison Asphalt ,5,5,64-22,-,Warm Mix Additive - Chemical*,< 1%,-,-,densa,HMA,141-168,-,-,-,-,"31,47","7,07","31,52","70,06",601,94,120,815,1934,N/A,N/,1934,0,N/A,0,0,https://asphaltepd.org/epd/d/1AUKqQ/
HMA463-19 ,Harrison Asphalt ,6,6,64-22,-,Warm Mix Additive - Chemical*,< 1%,-,-,densa,HMA,141-168,-,-,-,-,"34,33","7,81","31,52","73,65",656,104,120,880,2120,N/A,N/,2120,0,N/A,0,0,https://asphaltepd.org/epd/d/OPUDXv/
ACJ001-14 ,Jenny Lind Asphalt ,6,6,64-22,-,-,-,-,-,densa,HMA,146-156,-,-,-,-,"34,90","1,26","28,56","64,72",667,17,494,1178,2157,N/A,N/,2157,0,N/A,0,0,https://asphaltepd.org/epd/d/yeUOxL/
S4pv0262201000 ,Jenny Lind Asphalt ,5,5,70-28,-,-,-,-,-,densa,HMA,152-174,-,-,-,-,"38,84","2,46","28,56","69,87",717,33,494,1243,2009,N/A,N/,2009,0,N/A,0,0,https://asphaltepd.org/epd/d/LDUdvO/
WMA034-21 ,Jenny Lind Asphalt ,6,6,70-22,-,Warm Mix Additive - Chemical*,< 1%,-,-,densa,WMA,143-171,-,-,-,-,"40,91","4,94","28,56","74,41",756,66,494,1315,2120,N/A,N/,2120,0,N/A,0,0,https://asphaltepd.org/epd/d/aRUdbp/
WMA353-18 ,Jenny Lind Asphalt ,6,6,64-22,-,Warm Mix Additive - Chemical*,< 1%,-,-,densa,WMA,135-163,-,-,-,-,"37,76","2,85","28,56","69,17",723,38,494,1254,2344,N/A,N/,2344,0,N/A,0,0,https://asphaltepd.org/epd/d/mYUrrQ/
ACP001-18 ,Preston Asphalt ,6,6,64-22,-,-,-,-,-,densa,HMA,146-156,-,-,-,-,"35,47","1,07","26,05","62,59",678,14,443,1135,2194,N/A,N/,2194,0,N/A,0,0,https://asphaltepd.org/epd/d/4RUR6Q/
WMA026-21 ,Preston Asphalt ,6,6,70-22,-,Warm Mix Additive - Chemical*,< 1%,-,-,densa,WMA,143-171,-,-,-,-,"40,22","4,24","26,05","70,51",743,56,443,1242,2083,N/A,N/,2083,0,N/A,0,0,https://asphaltepd.org/epd/d/ZXU7v8/
WMA174-22 ,Preston Asphalt ,6,6,76-22,-,Warm Mix Additive - Chemical*,< 1%,-,-,densa,WMA,149-177,-,-,-,-,"39,53","4,07","26,05","69,66",730,54,443,1227,2046,N/A,N/,2046,0,N/A,0,0,https://asphaltepd.org/epd/d/bBUG6w/
WMA391-18 ,Preston Asphalt ,6,6,64-22,-,Warm Mix Additive - Chemical*,< 1%,-,-,densa,WMA,135-163,-,-,-,-,"37,19","1,19","26,05","64,43",712,16,443,1170,2307,N/A,N/,2307,0,N/A,0,0,https://asphaltepd.org/epd/d/pMUD15/
ACF101-15 ,Sharps Asphalt ,5,5,64-22,10,-,-,-,-,densa,HMA,146-174,-,-,-,-,"28,51","4,03","21,73","54,26",543,53,373,970,1748,N/A,N/,1748,86,N/A,0,86,https://asphaltepd.org/epd/d/1AU2Xx/
ACR101-13 ,Sharps Asphalt ,5,5,64-22,10,-,-,-,-,densa,HMA,146-174,-,-,-,-,"28,51","2,65","21,73","52,89",543,35,373,951,1748,N/A,N/,1748,86,N/A,0,86,https://asphaltepd.org/epd/d/o8UwD2/
HMA345-18 ,Sharps Asphalt ,4,4,70-22,19,Warm Mix Additive - Chemical*,< 1%,-,-,densa,HMA,157-185,-,-,-,-,"31,78","4,93","21,73","58,43",584,65,373,1023,1637,N/A,N/,1637,173,N/A,0,173,https://asphaltepd.org/epd/d/eBUM13/
HMA346-18 ,Sharps Asphalt ,5,5,Não reportado,19,Warm Mix Additive - Chemical*,< 1%,-,-,densa,HMA,141-168,-,-,-,-,"27,27","4,62","21,73","53,62",519,61,373,953,1674,N/A,N/,1674,173,N/A,0,173,https://asphaltepd.org/epd/d/P5UkbE/
HMA386-18 ,Sharps Asphalt ,4,4,70-22,19,Warm Mix Additive - Chemical*,< 1%,-,-,densa,HMA,157-185,-,-,-,-,"26,28","2,33","21,73","50,34",482,31,373,886,1339,N/A,N/,1339,175,N/A,0,175,https://asphaltepd.org/epd/d/wRU3E3/
HMA388-18 ,Sharps Asphalt ,4,4,76-22,19,Warm Mix Additive - Chemical*,< 1%,-,-,Não reportada,HMA,157-185,-,-,-,-,"31,09","5,90","21,73","58,72",571,78,373,1023,1600,N/A,N/,1600,174,N/A,0,174,https://asphaltepd.org/epd/d/drUJBY/
HMA393-19 ,Sharps Asphalt ,6,6,76-22,-,Warm Mix Additive - Chemical*,< 1%,-,-,Não reportada,HMA,157-185,-,-,-,-,"39,53","6,09","21,73","67,35",730,81,373,1184,2046,N/A,N/,2046,0,N/A,0,0,https://asphaltepd.org/epd/d/YqUz7M/
HMA412-18 ,Sharps Asphalt ,5,5,70-22,19,Warm Mix Additive - Chemical*,< 1%,-,-,densa,HMA,157-185,-,-,-,-,"34,53","6,32","21,73","62,58",636,84,373,1093,1786,N/A,N/,1786,173,N/A,0,173,https://asphaltepd.org/epd/d/mYUB44/
074-22 12.5mm Surface ,Paragould Asphalt Plant ,5,5,64-22,-,Antistrip Agents - Organo-silanes*,< 1%,-,-,densa,WMA,127-149,-,-,-,-,"29,76","5,54","20,81","56,11",568,74,359,1000,1823,N/A,N/,1823,0,N/A,0,0,https://asphaltepd.org/epd/d/1AUjlD/
076-22 12.5mm Surface RAP ,Paragould Asphalt Plant ,4,4,64-22,24,Antistrip Agents - Organo-silanes*,< 1%,-,-,densa,WMA,127-149,-,-,-,-,"23,79","3,93","20,81","48,54",451,52,359,862,1451,N/A,N/,1451,218,N/A,0,218,https://asphaltepd.org/epd/d/OPUP4B/
WMA015-22 25.0mm Binder ,Paragould Asphalt Plant ,4,4,64-22,-,Antistrip Agents - Organo-silanes*,< 1%,-,-,densa,WMA,127-149,-,-,-,-,"24,04","6,50","20,81","51,35",457,86,359,902,1451,N/A,N/,1451,0,N/A,0,0,https://asphaltepd.org/epd/d/ZXUwQJ/
WMA020-21 25.0mm Binder RAP ,Paragould Asphalt Plant ,3,3,64-22,24,Antistrip Agents - Organo-silanes*,< 1%,-,-,densa,WMA,127-149,-,-,-,-,"18,65","4,89","20,81","44,35",351,65,359,775,1116,N/A,N/,1116,220,N/A,0,220,https://asphaltepd.org/epd/d/GZUd3E/
HMA055-21 ,PBSGC Monticello Asphalt ,5,5,64-22,14,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,160-180,-,-,-,-,"27,34","10,82","19,19","57,35",520,144,332,995,1674,N/A,N/,1674,130,N/A,0,130,https://asphaltepd.org/epd/d/o8Uod/
HMA205-20 ,PBSGC Monticello Asphalt ,5,5,76-22,-,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,177-154,-,-,-,-,"36,80","12,54","19,19","68,53",679,166,332,1177,1897,N/A,N/,1897,0,N/A,0,0,https://asphaltepd.org/epd/d/V4UMQ/
1154000 37.5MM Base ,Plant 05 De Queen ,4,4,70-22,-,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"25,12","10,96","24,79","60,87",477,145,114,736,1490,N/A,N/,1490,0,N/A,0,0,https://asphaltepd.org/epd/d/XZUD2a/
1252000 25.0MM Binder ,Plant 05 De Queen ,5,5,64-22,-,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"27,98","9,20","24,79","61,97",532,122,114,769,1676,N/A,N/,1676,0,N/A,0,0,https://asphaltepd.org/epd/d/rQUDr9/
1254000 25MM Binder ,Plant 05 De Queen ,4,4,70-22,-,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"26,84","9,17","24,79","60,79",510,122,114,746,1601,N/A,N/,1601,0,N/A,0,0,https://asphaltepd.org/epd/d/gGU5J6/
1354003 12.5MM Surface ,Plant 05 De Queen ,5,5,70-22,-,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"33,12","9,37","24,79","67,28",632,124,114,871,2010,N/A,N/,2010,0,N/A,0,0,https://asphaltepd.org/epd/d/E3UdJa/
