Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
13195 ,Swan Asphalt ,4,4,70-10,15,-,-,-,-,densa,HMA,149-171,-,1,-,-,"31,70","3,68","20,59","55,98",376,49,335,760,1599,N/A,N/A,1599,139,N/A,0,139,https://asphaltepd.org/epd/d/OPUDGb/
13208 ,Swan Asphalt ,4,4,70-10,15,-,-,-,-,densa,HMA,149-171,-,1,-,-,"32,30","3,28","20,59","56,18",520,44,335,898,1599,N/A,N/A,1599,136,N/A,0,136,https://asphaltepd.org/epd/d/4RUE6g/
13328 ,Swan Asphalt ,5,5,70-10,-,-,-,-,-,densa,HMA,149-171,-,1,-,-,"36,46","4,34","20,59","61,39",601,58,335,993,1860,N/A,N/A,1860,0,N/A,0,0,https://asphaltepd.org/epd/d/drUYxj/
13330 ,Swan Asphalt ,5,5,70-10,-,-,-,-,-,densa,HMA,149-204,-,1,-,-,"36,46","3,88","20,59","60,93",601,52,335,987,1860,N/A,N/A,1860,0,N/A,0,0,https://asphaltepd.org/epd/d/REUdPg/
13331 ,Swan Asphalt ,5,5,70-10,-,-,-,-,-,densa,HMA,149-171,-,1,-,-,"36,46","3,88","20,59","60,93",601,52,335,987,1860,N/A,N/A,1860,0,N/A,0,0,https://asphaltepd.org/epd/d/mYUrRG/
13332 ,Swan Asphalt ,4,4,70-10,15,-,-,-,-,densa,HMA,149-171,-,1,-,-,"30,02","3,74","20,59","54,36",475,50,335,860,1451,N/A,N/A,1451,136,N/A,0,136,https://asphaltepd.org/epd/d/rQUraO/
13333 ,Swan Asphalt ,4,4,70-10,15,-,-,-,-,densa,HMA,149-171,-,1,-,-,"30,02","3,35","20,59","53,97",475,45,335,855,1451,N/A,N/A,1451,136,N/A,0,136,https://asphaltepd.org/epd/d/pMU9yv/
13334 ,Swan Asphalt ,5,5,70-10,-,-,-,-,-,densa,HMA,149-171,-,1,-,-,"35,32","4,50","20,59","60,41",579,60,335,973,1785,N/A,N/A,1785,0,N/A,0,0,https://asphaltepd.org/epd/d/pMU91Q/
13335 ,Swan Asphalt ,5,5,70-10,15,-,-,-,-,densa,HMA,149-171,-,1,-,-,"33,45","3,27","20,59","57,31",542,43,335,920,1674,N/A,N/A,1674,136,N/A,0,136,https://asphaltepd.org/epd/d/bBULxe/
13337 ,Swan Asphalt ,5,5,76-22,-,-,-,-,-,densa,HMA,149-171,-,1,-,-,"34,64","4,41","20,59","59,65",419,59,335,812,1785,N/A,N/A,1785,3,N/A,0,3,https://asphaltepd.org/epd/d/1AUK8r/
13629 ,Swan Asphalt ,5,5,76-22,-,-,-,-,-,densa,HMA,149-171,-,1,-,-,"35,76","4,50","20,59","60,85",434,60,335,828,1860,N/A,N/A,1860,4,N/A,0,4,https://asphaltepd.org/epd/d/XZU2Zp/
13700 ,Swan Asphalt ,5,5,70-10,-,-,-,-,-,densa,HMA,149-171,-,1,-,-,"37,99","4,48","20,59","63,05",465,59,335,859,2009,N/A,N/A,2009,4,N/A,0,4,https://asphaltepd.org/epd/d/aRUdv6/
13954 ,Swan Asphalt ,5,5,70-10,-,-,-,-,-,densa,HMA,149-171,-,1,-,-,"35,89","4,44","20,59","60,92",590,59,335,984,1823,N/A,N/A,1823,0,N/A,0,0,https://asphaltepd.org/epd/d/E3UJaL/
