Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
3781 - C270-10R20SJ ,Big Rock AC ,Unmodified,4,70-10,19,-,-,-,-,dense,HMA,152-163,-,-,-,-,"25,10","0,91","30,72","56,73",476,12,353,841,1532,N/A,N/,1532,174,N/A,0,174,https://asphaltepd.org/epd/d/QVUGpx/
3783 - B70-10R20SJ ,Big Rock AC ,Unmodified,4,70-10,19,-,-,-,-,dense,HMA,152-163,-,-,-,-,"22,01","0,00","30,72","52,73",417,0,353,769,1332,N/A,N/,1332,175,N/A,0,175,https://asphaltepd.org/epd/d/P5UyBV/
1068 ,Bishop AC ,Unmodified,5,64-28,14,-,-,-,-,dense,HMA,138-166,-,-,-,-,"27,89","1,66","35,98","65,53",531,22,427,980,1711,N/A,N/,1711,130,N/A,0,130,https://asphaltepd.org/epd/d/3JUaXj/
1171 ,Bishop AC ,SBS modified - 3.5% styrene-butadiene-styrene,5,64-28,14,-,-,-,-,dense,HMA,138-166,-,-,-,-,"32,86","1,97","35,98","70,80",605,26,427,1058,1692,N/A,N/,1692,130,N/A,0,130,https://asphaltepd.org/epd/d/KoUGmy/
13766 ,Bishop AC ,SBS modified - 3.5% styrene-butadiene-styrene,4,58-34,14,-,-,-,-,dense,HMA,14 -°C ,-,-,-,-,"29,08","1,73","35,98","66,78",534,23,427,984,1488,N/A,N/,1488,131,N/A,0,131,https://asphaltepd.org/epd/d/E3UDxy/
1038 ,Bradshaw AC ,Unmodified,4,64-16,24,-,-,-,-,dense,HMA,143-149,-,-,-,-,"25,28","0,52","18,92","44,72",480,7,334,821,1547,N/A,N/,1547,217,N/A,0,217,https://asphaltepd.org/epd/d/XZUmym/
12512 ,Bradshaw AC ,Unmodified,4,64-16,19,-,-,-,-,dense,HMA,143-149,-,-,-,-,"21,59","0,45","18,92","40,97",407,6,334,747,1302,N/A,N/,1302,201,N/A,0,201,https://asphaltepd.org/epd/d/1AUjbK/
1465 ,Bradshaw AC ,Unmodified,4,64-16,24,-,-,-,-,dense,HMA,143-149,-,-,-,-,"21,50","0,45","18,92","40,88",406,6,334,747,1302,N/A,N/,1302,219,N/A,0,219,https://asphaltepd.org/epd/d/rQUM1D/
1056 ,Coalinga AC ,Unmodified,5,64-16,14,-,-,-,-,dense,HMA,143-163,-,-,-,-,"27,38","0,86","20,50","48,74",521,11,356,888,1677,N/A,N/,1677,130,N/A,0,130,https://asphaltepd.org/epd/d/QVUG2O/
1116 ,Coalinga AC ,Unmodified,4,64-16,24,-,-,-,-,dense,HMA,143-163,-,-,-,-,"24,93","0,78","20,50","46,21",473,10,356,839,1525,N/A,N/,1525,218,N/A,0,218,https://asphaltepd.org/epd/d/P5Uy75/
1465 ,Coalinga AC ,Unmodified,4,64-16,24,-,-,-,-,dense,HMA,143-163,-,-,-,-,"23,27","0,71","20,50","44,48",441,9,356,806,1417,N/A,N/,1417,218,N/A,0,218,https://asphaltepd.org/epd/d/gGUG8M/
1466 ,Coalinga AC ,Unmodified,4,70-10,24,Antistrip Agents - Polyamines*,<,-,-,dense,HMA,143-163,-,-,-,-,"24,48","0,82","20,50","45,79",464,11,356,831,1495,N/A,N/,1495,218,N/A,0,218,https://asphaltepd.org/epd/d/LDURK7/
2708 ,Coalinga AC ,Unmodified,4,64-16,14,Antistrip Agents - Polyamines*,<,-,-,dense,HMA,143-163,-,-,-,-,"26,81","0,85","20,50","48,16",510,11,356,877,1641,N/A,N/,1641,130,N/A,0,130,https://asphaltepd.org/epd/d/OPUPJE/
14277 ,Desert Cities AC ,Unmodified,4,70-10,34,-,-,-,-,dense,HMA,143-160,-,-,-,-,"22,49","1,69","17,07","41,25",425,22,291,738,1372,N/A,N/,1372,306,N/A,0,306,https://asphaltepd.org/epd/d/3JUaXD/
