Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
Eads ST 50 ,Lamar Asphalt Plant ,Unmodified,7,58-28,-,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,138-149,-,-,-,-,"52,62","7,35","28,60","88,57",830,98,473,1400,2492,N/A,N/A,2492,0,N/A,0,0,https://asphaltepd.org/epd/d/drUYEw/
40007-22-L ,Lipan Asphalt Plant ,Unmodified,4,64-22,22,-,-,-,-,densa,HMA,160-166,1,-,-,-,"36,23","6,05","17,40","59,68",518,80,286,884,1473,N/A,N/A,1473,200,N/A,0,200,https://asphaltepd.org/epd/d/9JUKRm/
40007-23-L - S 100 23%BR (64-22) ,Lipan Asphalt Plant ,Unmodified,4,64-22,22,-,-,-,-,densa,HMA,160-166,1,-,-,-,"36,74","6,47","17,40","60,62",528,86,286,900,1506,N/A,N/A,1506,201,N/A,0,201,https://asphaltepd.org/epd/d/qmUXAw/
40053-22-L ,Lipan Asphalt Plant ,Unmodified,4,64-22,19,-,-,-,-,densa,HMA,160-166,1,-,-,-,"38,78","8,44","17,40","64,62",568,112,286,965,1637,N/A,N/A,1637,173,N/A,0,173,https://asphaltepd.org/epd/d/QVU6rw/
40054-22-L ,Lipan Asphalt Plant ,Unmodified,4,58-28,19,-,-,-,-,densa,HMA,152-157,1,-,-,-,"38,78","6,66","17,40","62,83",568,88,286,942,1637,N/A,N/A,1637,173,N/A,0,173,https://asphaltepd.org/epd/d/YqUz45/
40174-23-L - ST SMA 100 (76-28) ,Lipan Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s),6,76-28,-,-,-,"Fibers, natural - Cellulose*",< 1%,densa,HMA,160-166,1,-,-,1,"57,60","10,32","17,40","85,31",905,137,286,1328,2383,N/A,N/A,2383,0,N/A,0,0,https://asphaltepd.org/epd/d/DdUVKp/
40175-23-L - Sx SMA 100 (76-28) ,Lipan Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s),6,76-28,-,-,-,"Fibers, natural - Cellulose*",< 1%,densa,HMA,160-166,1,-,-,3,"56,97","12,73","17,40","87,09",893,169,286,1348,2348,N/A,N/A,2348,0,N/A,0,0,https://asphaltepd.org/epd/d/LDUv6X/
40211-22-L-J-WMA ,Lipan Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s),4,76-28,22,-,-,-,-,densa,HMA,160-166,1,-,-,-,"41,67","6,99","17,40","66,07",604,93,286,982,1520,N/A,N/A,1520,196,N/A,0,196,https://asphaltepd.org/epd/d/1AU2Pe/
40219-23-L - Sx 75 20% RAP (64-28) ,Lipan Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s),4,64-28,19,-,-,-,-,densa,HMA,146-166,1,-,-,-,"43,10","6,70","17,40","67,20",630,89,286,1005,1596,N/A,N/A,1596,174,N/A,0,174,https://asphaltepd.org/epd/d/OPUEay/
40013-22-R ,Rock Creek Asphalt Plant ,Unmodified,4,64-22,19,-,-,-,-,densa,HMA,160-166,1,-,-,-,"36,49","7,18","20,20","63,87",523,95,321,940,1488,N/A,N/A,1488,174,N/A,0,174,https://asphaltepd.org/epd/d/E3UdzX/
40053-22-R ,Rock Creek Asphalt Plant ,Unmodified,4,64-22,19,-,-,-,-,densa,HMA,160-166,1,-,-,-,"38,78","5,58","20,20","64,55",568,74,321,963,1637,N/A,N/A,1637,173,N/A,0,173,https://asphaltepd.org/epd/d/mYUBmw/
CASI #13 ,Colorado Asphalt Services Hot Plant ,Unmodified,4,64-22,19,-,-,-,-,densa,HMA,149-171,1,-,-,-,"39,29","2,71","15,77","57,76",577,36,268,881,1670,N/A,N/A,1670,173,N/A,0,173,https://asphaltepd.org/epd/d/eBUdJB/
CASI #69 ,Colorado Asphalt Services Hot Plant ,Unmodified,4,58-28,24,-,-,-,-,densa,HMA,149-177,0,-,-,-,"30,40","2,78","15,77","48,95",492,37,268,797,1488,N/A,N/A,1488,218,N/A,0,218,https://asphaltepd.org/epd/d/KoUZpJ/
CASI #70 ,Colorado Asphalt Services Hot Plant ,Unmodified,4,58-28,24,-,-,-,-,densa,HMA,149-177,0,-,-,-,"30,40","2,62","15,77","48,78",492,35,268,795,1488,N/A,N/A,1488,218,N/A,0,218,https://asphaltepd.org/epd/d/drU6bP/
10150 ,Timnath Connell Pit ,Unmodified,4,64-22,19,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,149-166,-,-,-,-,"37,69","4,97","23,10","65,76",546,66,369,982,1566,N/A,N/A,1566,174,N/A,0,174,https://asphaltepd.org/epd/d/vZU594/
20150 ,Timnath Connell Pit ,Unmodified,4,64-22,19,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,149-166,-,-,-,-,"37,18","4,97","23,10","65,24",536,66,369,972,1532,N/A,N/A,1532,174,N/A,0,174,https://asphaltepd.org/epd/d/5mUv3V/
PG-54-28 ,Portable Hot Plant 100904 ,Unmodified,7,58-28,20,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,127-160,-,-,-,-,"51,27","1,75","22,25","75,26",802,23,72,898,2418,N/A,N/A,2418,181,N/A,0,181,https://asphaltepd.org/epd/d/bBUQlb/
