Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
Class 1 - 20% RAP ,Danbury Asphalt ,Unmodified,4,64-22,20,-,-,-,-,densa,HMA,129-163,-,-,-,-,"25,49","3,28","22,93","51,70",484,44,393,921,1558,N/A,N/,1558,181,N/A,0,181,https://asphaltepd.org/epd/d/J5Uxlm/
Class 2 - 20% RAP ,Danbury Asphalt ,Unmodified,5,64-22,20,-,-,-,-,densa,HMA,129-163,-,-,-,-,"29,43","3,49","22,93","55,85",560,46,393,1000,1815,N/A,N/,1815,181,N/A,0,181,https://asphaltepd.org/epd/d/vZUPVR/
Class 4 - 25% RAP ,Danbury Asphalt ,Unmodified,3,64-22,25,-,-,-,-,densa,HMA,129-163,-,-,-,-,"18,24","3,03","22,93","44,20",343,40,393,777,1090,N/A,N/,1090,227,N/A,0,227,https://asphaltepd.org/epd/d/OPUDmo/
"SP - HMA .375""/9.5mm -L2/L3- 20% RAP ",Danbury Asphalt ,Unmodified,5,64-22,20,-,-,-,-,densa,HMA,129-163,-,-,-,-,"27,77","3,25","22,93","53,96",528,43,393,965,1707,N/A,N/,1707,181,N/A,0,181,https://asphaltepd.org/epd/d/drUJVr/
"SP - HMA .5""/12.5mm - L2/L3 - 20% RAP ",Danbury Asphalt ,Unmodified,4,64-22,20,-,-,-,-,densa,HMA,129-163,-,-,-,-,"24,92","3,07","22,93","50,92",473,41,393,907,1521,N/A,N/,1521,181,N/A,0,181,https://asphaltepd.org/epd/d/wRU3gl/
"SP - HMA 1""/25.0 mm -L2/L3- 20% RAP ",Danbury Asphalt ,Unmodified,4,64-22,20,-,-,-,-,densa,HMA,129-163,-,-,-,-,"22,06","3,07","22,93","48,06",417,41,393,852,1335,N/A,N/,1335,181,N/A,0,181,https://asphaltepd.org/epd/d/AKU4DO/
Class 1 - 20% RAP ,New Britain Asphalt ,Unmodified,4,64-22,20,-,-,-,-,densa,WMA,129-163,-,-,-,-,"24,52","1,00","16,36","41,87",465,13,283,761,1495,N/A,N/,1495,181,N/A,0,181,https://asphaltepd.org/epd/d/gGUQjy/
Class 1 - 25% RAP - Rejuvenator ,New Britain Asphalt ,Unmodified,4,64-22,25,Cargill Anova® 1815 Rejuvenator,< 1%,-,-,densa,HMA,129-163,-,-,-,-,"23,43","1,10","16,36","40,89",440,15,283,737,1413,N/A,N/,1413,227,N/A,0,227,https://asphaltepd.org/epd/d/MmUbmJ/
Class 1 - 30% RAP - Rejuvenator ,New Britain Asphalt ,Unmodified,4,64-22,30,Cargill Anova® 1815 Rejuvenator,< 1%,-,-,densa,HMA,129-163,-,-,-,-,"21,96","0,99","16,36","39,30",410,13,283,706,1317,N/A,N/,1317,272,N/A,0,272,https://asphaltepd.org/epd/d/lyUrpK/
Class 2 - 20% RAP ,New Britain Asphalt ,Unmodified,5,64-22,20,-,-,-,-,densa,HMA,129-163,-,-,-,-,"29,66","0,97","16,36","46,98",565,13,283,861,1830,N/A,N/,1830,181,N/A,0,181,https://asphaltepd.org/epd/d/3JUVm3/
