Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
FC 9.5 20% RAP (SPM 19-17239B) ,Plant 1 - North Venice ,Unmodified + 1 terminal additive(s)*,5,76-22,19,-,-,-,-,densa,HMA,149-149,-,-,-,-,"30,48","61,60","19,24","111,32",581,809,331,1721,1883,N/A,N/,1883,172,N/A,0,172,https://asphaltepd.org/epd/d/REU5x/
FC 9.5 20% RAP (SPM 22-20938A) ,Plant 1 - North Venice ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s)*,5,76-22,19,-,-,-,-,densa,HMA,160-160,-,-,-,-,"32,88","55,40","19,24","107,52",605,728,331,1664,1696,N/A,N/,1696,173,N/A,0,173,https://asphaltepd.org/epd/d/MmU5V/
FC-5 Granite (SPM 19-17971B) ,Plant 1 - North Venice ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s)*,6,76-22,-,-,-,-,-,open,HMA,160-160,-,-,-,-,"42,29","102,76","19,24","164,29",781,1140,331,2253,2195,N/A,N/,2195,0,N/A,0,0,https://asphaltepd.org/epd/d/aRUj4b/
P-401 3/4 Virgin 75G ,Plant 1 - North Venice ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s)*,6,76-22,-,-,-,-,-,densa,HMA,160-160,-,-,-,-,"42,98","76,20","19,24","138,42",794,1001,331,2126,2232,N/A,N/,2232,0,N/A,0,0,https://asphaltepd.org/epd/d/j5U2v/
SP 12.5 TL-C 20% RAP ,Plant 1 - North Venice ,Unmodified + 1 terminal additive(s)*,4,58-22,19,-,-,-,-,densa,HMA,149-149,-,-,-,-,"25,90","55,53","19,24","100,68",492,730,331,1553,1585,N/A,N/,1585,174,N/A,0,174,https://asphaltepd.org/epd/d/keUyO/
SP 12.5 TL-C 20% RAP PMA ,Plant 1 - North Venice ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s)*,4,76-22,19,-,-,-,-,densa,HMA,160-160,-,-,-,-,"30,82","65,36","19,24","115,42",566,730,331,1627,1585,N/A,N/,1585,174,N/A,0,174,https://asphaltepd.org/epd/d/E3URdr/
SP 12.5 TL-C 35% RAP (SP 21-19450A) ,Plant 1 - North Venice ,Unmodified + 1 terminal additive(s)*,3,52-28,34,-,-,-,-,densa,HMA,149-149,-,-,-,-,"20,43","42,55","19,24","82,22",385,559,331,1276,1239,N/A,N/,1239,307,N/A,0,307,https://asphaltepd.org/epd/d/pMU1A/
SP 12.5 TL-E 20% RAP ,Plant 1 - North Venice ,Unmodified + 1 terminal additive(s)*,4,58-22,19,-,-,-,-,densa,HMA,149-149,-,-,-,-,"25,33","55,58","19,24","100,15",481,730,331,1542,1548,N/A,N/,1548,174,N/A,0,174,https://asphaltepd.org/epd/d/9JUdL/
SP 12.5 TL-E 20% RAP PMA (SPM 22-20607A) ,Plant 1 - North Venice ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s)*,4,76-22,19,-,-,-,-,densa,HMA,160-160,-,-,-,-,"30,13","55,58","19,24","104,95",554,730,331,1615,1548,N/A,N/,1548,174,N/A,0,174,https://asphaltepd.org/epd/d/YqUYo/
SP 12.5 TL-E 35% RAP (SP 22-20344A) ,Plant 1 - North Venice ,Unmodified + 1 terminal additive(s)*,3,52-28,34,-,-,-,-,densa,HMA,149-149,-,-,-,-,"20,43","42,55","19,24","82,22",385,559,331,1276,1239,N/A,N/,1239,307,N/A,0,307,https://asphaltepd.org/epd/d/j5UAv/
SP 9.5 TL-C 20% RAP PMA ,Plant 1 - North Venice ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s)*,5,76-22,19,-,-,-,-,densa,HMA,160-160,-,-,-,-,"36,32","61,60","19,24","117,16",669,809,331,1809,1883,N/A,N/,1883,172,N/A,0,172,https://asphaltepd.org/epd/d/BZUkQ/
