Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
FF0S642 ,Federal Way Asphalt ,5,5,58-28,33,-,-,-,-,densa,HMA,147-151,-,-,-,-,"35,98","0,02","21,26","57,27",662,0,365,1027,1872,N/A,N/A,1872,302,N/A,0,302,https://asphaltepd.org/epd/d/rQUvlk/
FF0S643 ,Federal Way Asphalt ,5,5,64-28,33,-,-,-,-,densa,HMA,158-162,-,-,-,-,"35,96","0,02","21,26","57,24",662,0,365,1027,1871,N/A,N/A,1871,302,N/A,0,302,https://asphaltepd.org/epd/d/gGUQZJ/
FF0S645 ,Federal Way Asphalt ,5,5,64-34,33,-,-,-,-,densa,HMA,153-157,-,-,-,-,"37,22","0,02","21,26","58,50",685,0,365,1050,1939,N/A,N/A,1939,301,N/A,0,301,https://asphaltepd.org/epd/d/OPULQj/
FF0S645 ,Federal Way Asphalt ,5,5,64-34,33,-,-,-,-,densa,HMA,153-157,-,-,-,-,"37,22","0,02","21,26","58,50",685,0,365,1050,1939,N/A,N/A,1939,301,N/A,0,301,https://asphaltepd.org/epd/d/GZUbDD/
FF2S644 ,Federal Way Asphalt ,5,5,64-28,33,-,-,-,-,densa,HMA,158-162,-,-,-,-,"37,13","0,02","21,26","58,41",683,0,365,1048,1935,N/A,N/A,1935,301,N/A,0,301,https://asphaltepd.org/epd/d/XZU9Ey/
FF2S645 ,Federal Way Asphalt ,5,5,70-28,28,-,-,-,-,densa,HMA,159-163,-,-,-,-,"37,27","0,02","21,26","58,55",686,0,365,1051,1939,N/A,N/A,1939,258,N/A,0,258,https://asphaltepd.org/epd/d/XZU9oV/
FF9S540 ,Federal Way Asphalt ,5,5,58-28,42,-,-,-,-,densa,HMA,146-151,-,-,-,-,"35,87","0,02","21,26","57,15",660,0,365,1024,1871,N/A,N/A,1871,379,N/A,0,379,https://asphaltepd.org/epd/d/3JUVDO/
FF9S645 ,Federal Way Asphalt ,5,5,76-28,32,-,-,-,-,densa,HMA,159-163,-,-,-,-,"36,58","0,02","21,26","57,86",673,0,365,1038,1904,N/A,N/A,1904,293,N/A,0,293,https://asphaltepd.org/epd/d/1AU4Vw/
GT0S540 ,Ten Lane Asphalt ,5,5,58-28,48,-,-,-,-,densa,HMA,151-158,-,-,-,-,"34,60","0,02","14,02","48,64",635,0,244,879,1805,N/A,N/A,1805,432,N/A,0,432,https://asphaltepd.org/epd/d/E3UAVb/
GT0S642 ,Ten Lane Asphalt ,5,5,58-28,30,-,-,-,-,densa,HMA,151-158,-,-,-,-,"36,01","0,02","14,02","50,06",663,0,244,907,1872,N/A,N/A,1872,276,N/A,0,276,https://asphaltepd.org/epd/d/9JUOp5/
GT0S643 ,Ten Lane Asphalt ,5,5,64-28,30,-,-,-,-,densa,HMA,158-162,-,-,-,-,"36,01","0,02","14,02","50,06",663,0,244,907,1872,N/A,N/A,1872,276,N/A,0,276,https://asphaltepd.org/epd/d/bBUP2A/
GT0S644 - 221433 ,Ten Lane Asphalt ,4,4,70-28,31,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,158-162,-,-,-,-,"28,97","1,89","14,02","44,88",530,25,244,799,1439,N/A,N/A,1439,279,N/A,0,279,https://asphaltepd.org/epd/d/wRUrKg/
GT1S530 ,Ten Lane Asphalt ,6,6,64-28,28,-,-,-,-,densa,HMA,159-163,-,-,-,-,"39,73","0,03","14,02","53,78",732,0,244,976,2073,N/A,N/A,2073,257,N/A,0,257,https://asphaltepd.org/epd/d/85UXv1/
GT1S644 ,Ten Lane Asphalt ,5,5,76-28,36,-,-,-,-,densa,HMA,159-164,-,-,-,-,"36,19","0,00","14,02","50,21",666,0,244,909,1885,N/A,N/A,1885,327,N/A,0,327,https://asphaltepd.org/epd/d/XZU9LV/
GT1S645 ,Ten Lane Asphalt ,5,5,64-34,36,-,-,-,-,densa,HMA,147-157,-,-,-,-,"36,57","0,02","14,02","50,61",673,0,244,917,1906,N/A,N/A,1906,327,N/A,0,327,https://asphaltepd.org/epd/d/YqUx78/
GT1S646 ,Ten Lane Asphalt ,5,5,64-28,35,-,-,-,-,densa,HMA,159-163,-,-,-,-,"36,27","0,02","14,02","50,31",667,0,244,911,1889,N/A,N/A,1889,319,N/A,0,319,https://asphaltepd.org/epd/d/GZUbZD/
11144200 ,Wyoming Rd Plant ,4,4,58-28,20,-,-,-,-,densa,HMA,142-146,-,-,-,-,"32,25","0,42","14,71","47,39",593,6,256,855,1663,N/A,N/A,1663,182,N/A,0,182,https://asphaltepd.org/epd/d/3JU69R/
11144230 ,Wyoming Rd Plant ,4,4,64-28,18,-,-,-,-,densa,HMA,158-162,-,-,-,-,"31,93","0,47","14,71","47,11",587,6,256,849,1644,N/A,N/A,1644,165,N/A,0,165,https://asphaltepd.org/epd/d/E3UdKG/
11144590 ,Wyoming Rd Plant ,4,4,52-34,29,-,-,-,-,densa,HMA,142-146,-,-,-,-,"28,25","0,39","14,71","43,35",518,5,256,779,1451,N/A,N/A,1451,262,N/A,0,262,https://asphaltepd.org/epd/d/gGU5DR/
11164230 ,Wyoming Rd Plant ,4,4,64-28,17,-,-,-,-,densa,HMA,158-162,-,-,-,-,"31,32","0,47","14,71","46,50",576,6,256,838,1611,N/A,N/A,1611,156,N/A,0,156,https://asphaltepd.org/epd/d/KoUaOw/
11844590 ,Wyoming Rd Plant ,4,4,52-34,29,-,-,-,-,densa,HMA,142-146,-,-,-,-,"28,04","0,49","14,71","43,25",514,7,256,776,1440,N/A,N/A,1440,262,N/A,0,262,https://asphaltepd.org/epd/d/XZUDgL/
11845590 ,Wyoming Rd Plant ,4,4,52-34,29,-,-,-,-,densa,HMA,142-146,-,-,-,-,"32,09","0,62","14,71","47,43",590,8,256,854,1659,N/A,N/A,1659,260,N/A,0,260,https://asphaltepd.org/epd/d/1AU2B8/
11944590 ,Wyoming Rd Plant ,5,5,52-34,28,-,-,-,-,densa,HMA,139-143,-,-,-,-,"32,38","0,63","14,71","47,72",595,8,256,859,1674,N/A,N/A,1674,254,N/A,0,254,https://asphaltepd.org/epd/d/OPUadw/
