Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
213324025 ,Ardmore Plant ,Unmodified,5,64-22,27,-,-,-,-,densa,HMA,143-157,-,-,-,-,"30,04","1,20","23,72","54,96",572,16,412,1000,1860,N/A,N/A,1860,245,N/A,0,245,https://asphaltepd.org/epd/d/DdUOae/
3340003-IN ,E&B Paving Indianapolis S. Harding St. ,Unmodified,4,64-22,17,-,-,-,-,densa,HMA,149-157,-,-,-,-,"23,86","0,06","23,48","47,40",453,1,400,853,1451,N/A,N/A,1451,154,N/A,0,154,https://asphaltepd.org/epd/d/DdUGGj/
3340005-IN ,E&B Paving Indianapolis S. Harding St. ,Unmodified,4,64-22,22,-,-,-,-,densa,HMA,149-157,-,-,-,-,"24,38","0,06","23,48","47,92",462,1,400,863,1488,N/A,N/A,1488,200,N/A,0,200,https://asphaltepd.org/epd/d/qmU66A/
3340006-IN ,E&B Paving Indianapolis S. Harding St. ,Unmodified,5,64-22,27,-,-,-,-,densa,HMA,141-157,-,-,-,-,"28,90","0,07","23,48","52,44",550,1,400,950,1785,N/A,N/A,1785,245,N/A,0,245,https://asphaltepd.org/epd/d/keUvvo/
233246007 (3246007-IN) ,E&B Paving Noblesville Stony Creek ,Unmodified,5,64-22,27,-,-,-,-,densa,HMA,141-157,-,-,-,-,"28,34","0,84","20,17","49,35",539,11,345,895,1748,N/A,N/A,1748,245,N/A,0,245,https://asphaltepd.org/epd/d/85UoD9/
233246010 (3246010-IN) ,E&B Paving Noblesville Stony Creek ,Unmodified,5,64-22,18,-,-,-,-,densa,HMA,141-157,-,-,-,-,"30,69","0,31","20,17","51,17",585,4,345,934,1897,N/A,N/A,1897,163,N/A,0,163,https://asphaltepd.org/epd/d/xPUyJB/
12.5mm 30gyr PG64-22 IN4703.0.28.5 ,Dale Plant ,Unmodified,4,64-22,25,-,-,-,-,Não reportada,HMA,138-157,-,-,-,-,"23,38","6,98","21,58","51,94",443,93,372,907,1425,N/A,N/A,1425,225,N/A,0,225,https://asphaltepd.org/epd/d/85U6RJ/
12.5mm 30gyr PG64-22 IN4703.17.5 ,Dale Plant ,Unmodified,5,64-22,16,-,-,-,-,Não reportada,HMA,138-157,-,-,-,-,"29,72","7,89","21,58","59,18",566,105,372,1043,1830,N/A,N/A,1830,143,N/A,0,143,https://asphaltepd.org/epd/d/xPU3q4/
12.5mm 50gyr PG70-22 IN4816.1.19.3 ,Dale Plant ,Unmodified,4,70-22,17,-,-,-,-,Não reportada,HMA,149-163,-,-,2,-,"26,36","11,21","21,58","59,14",500,149,372,1020,1611,N/A,N/A,1611,171,N/A,0,171,https://asphaltepd.org/epd/d/25U9yp/
19mm 30gyr PG64-22 IN4726.15.7 ,Dale Plant ,Unmodified,4,64-22,14,-,-,-,-,Não reportada,HMA,138-157,-,-,-,-,"24,47","7,92","21,58","53,97",464,105,372,942,1488,N/A,N/A,1488,125,N/A,0,125,https://asphaltepd.org/epd/d/BZUol9/
25mm 30gyr PG64-22 IN4753.14.1 ,Dale Plant ,Unmodified,4,64-22,13,-,-,-,-,Não reportada,HMA,138-157,-,-,-,-,"23,17","7,94","21,58","52,69",439,105,372,917,1402,N/A,N/A,1402,116,N/A,0,116,https://asphaltepd.org/epd/d/6QUbmr/
9.5mm 30gyr PG64-22 IN4809.1.29 ,Dale Plant ,Unmodified,4,64-22,25,-,-,-,-,Não reportada,HMA,138-157,-,-,-,-,"23,78","6,98","21,58","52,33",451,93,372,915,1451,N/A,N/A,1451,229,N/A,0,229,https://asphaltepd.org/epd/d/YqU5Xj/
