Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
49226 CL3 1.0D w/Rap 64-22 ,Bowen Asphalt Plant ,Unmodified,4,64-22,14,-,-,-,-,densa,WMA,143-157,-,-,-,-,"21,61","0,69","23,68","45,98",409,9,64,482,1302,N/A,N/,1302,127,N/A,0,127,https://asphaltepd.org/epd/d/gGUJZp/
49245 CL2 .75D w/Rap 64-22 ,Bowen Asphalt Plant ,Unmodified,4,64-22,14,-,-,-,-,densa,WMA,143-157,-,-,-,-,"25,04","0,81","23,68","49,53",475,11,64,550,1525,N/A,N/,1525,127,N/A,0,127,https://asphaltepd.org/epd/d/3JUlD7/
49293 CL 2 .38D w/Rap 64-22 ,Bowen Asphalt Plant ,Unmodified,5,64-22,13,-,-,-,-,densa,WMA,143-157,-,-,-,-,"30,76","1,01","23,68","55,45",586,13,64,664,1897,N/A,N/,1897,121,N/A,0,121,https://asphaltepd.org/epd/d/E3UJV8/
12.5MM ,Ashland ,SBS modified - 3.5% styrene-butadiene-styrene,6,76-22,15,-,-,-,-,densa,HMA,149-163,-,-,-,-,"39,37","9,67","19,49","68,53",726,128,338,1192,2046,N/A,N/,2046,136,N/A,0,136,https://asphaltepd.org/epd/d/85Urpv/
12.5MM Intermediate ,Ashland ,Unmodified,5,64-22,20,-,-,-,-,densa,HMA,135-157,-,-,-,-,"28,40","7,10","19,49","54,99",540,94,338,972,1748,N/A,N/,1748,181,N/A,0,181,https://asphaltepd.org/epd/d/BZUyQl/
Cl.2 0.38D ,Ashland ,Unmodified,5,64-22,17,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,135-157,-,-,-,-,"29,30","6,31","19,49","55,10",558,84,338,980,1805,N/A,N/,1805,154,N/A,0,154,https://asphaltepd.org/epd/d/YqUm99/
Cl.2 0.75D ,Ashland ,Unmodified,4,64-22,20,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,135-157,-,-,-,-,"21,56","6,34","19,49","47,38",408,84,338,830,1302,N/A,N/,1302,182,N/A,0,182,https://asphaltepd.org/epd/d/keUvae/
Cl.2 1.00D ,Ashland ,Unmodified,3,64-22,17,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,135-157,-,-,-,-,"18,73","5,67","19,49","43,89",353,75,338,766,1116,N/A,N/,1116,154,N/A,0,154,https://asphaltepd.org/epd/d/DdUG71/
Cl.3 0.38B ,Ashland ,Unmodified,5,64-22,17,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,135-157,-,-,-,-,"31,02","7,53","19,49","58,04",591,100,338,1029,1916,N/A,N/,1916,154,N/A,0,154,https://asphaltepd.org/epd/d/MmUVlP/
Cl.3 1.00D ,Ashland ,Unmodified,3,64-22,17,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,135-157,-,-,-,-,"18,44","5,68","19,49","43,61",347,75,338,761,1098,N/A,N/,1098,154,N/A,0,154,https://asphaltepd.org/epd/d/25UbpM/
Cl.4 0.38A ,Ashland ,SBS modified - 3.5% styrene-butadiene-styrene,5,76-22,17,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"37,65","8,66","19,49","65,81",694,115,338,1147,1954,N/A,N/,1954,154,N/A,0,154,https://asphaltepd.org/epd/d/xPU5BY/
L&W PG 64-22 ,Ashland ,Unmodified,5,64-22,17,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,135-157,-,-,-,-,"28,45","6,31","19,49","54,25",541,84,338,963,1749,N/A,N/,1749,154,N/A,0,154,https://asphaltepd.org/epd/d/6QU6LX/
T-1 ,Ashland ,Unmodified,6,64-22,15,-,-,-,-,densa,HMA,135-157,-,-,-,-,"33,60","9,00","19,49","62,09",641,120,338,1099,2083,N/A,N/,2083,136,N/A,0,136,https://asphaltepd.org/epd/d/j5UQed/
