Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
BCC E0411 ,Baton Rouge Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene,4,70-22,25,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,WMA,132-160,-,-,-,-,"25,71","27,24","24,77","77,71",471,358,412,1240,1311,N/A,N/,1311,227,N/A,0,227,https://asphaltepd.org/epd/d/6QUZy6/
BCC E0415 ,Baton Rouge Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene,3,70-22,25,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,WMA,132-160,-,-,-,-,"24,16","23,43","24,77","72,37",442,308,412,1162,1228,N/A,N/,1228,227,N/A,0,227,https://asphaltepd.org/epd/d/qmUe3j/
BCC E0422 ,Baton Rouge Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene,4,70-22,20,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,WMA,132-160,-,-,-,-,"30,40","26,84","24,77","82,00",558,353,412,1323,1563,N/A,N/,1563,181,N/A,0,181,https://asphaltepd.org/epd/d/DdUx8y/
BCC E0452 ,Baton Rouge Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene,4,76-22,20,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,WMA,132-160,-,-,-,-,"31,09","26,70","24,77","82,56",571,351,412,1334,1600,N/A,N/,1600,181,N/A,0,181,https://asphaltepd.org/epd/d/yeUbwK/
BCC E0495 ,Baton Rouge Asphalt Plant ,Unmodified,4,67-22,25,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,WMA,132-160,-,-,-,-,"23,64","25,29","24,77","73,70",448,332,412,1192,1442,N/A,N/,1442,227,N/A,0,227,https://asphaltepd.org/epd/d/pMUEKg/
BCC B0401 ,Boutte Asphalt Plant ,Unmodified,3,58-28,35,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,WMA,135-163,-,-,-,-,"18,25","36,30","23,46","78,01",343,477,401,1221,1097,N/A,N/,1097,318,N/A,0,318,https://asphaltepd.org/epd/d/MmUBJw/
BCC B0416 ,Boutte Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene,4,70-22,25,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,WMA,135-163,-,-,-,-,"25,71","31,86","23,46","81,03",471,419,401,1290,1311,N/A,N/,1311,227,N/A,0,227,https://asphaltepd.org/epd/d/lyUEOz/
BCC B0422 ,Boutte Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene,4,70-22,20,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,WMA,135-163,-,-,-,-,"30,40","36,53","23,46","90,39",558,480,401,1439,1563,N/A,N/,1563,181,N/A,0,181,https://asphaltepd.org/epd/d/zwULeX/
BCC B0451 ,Boutte Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene,4,76-22,20,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,WMA,135-163,-,-,-,-,"31,77","39,37","23,46","94,60",584,517,401,1502,1637,N/A,N/,1637,181,N/A,0,181,https://asphaltepd.org/epd/d/74Uvlp/
BCC B0490 ,Boutte Asphalt Plant ,Unmodified,4,67-22,25,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,WMA,135-163,-,-,-,-,"23,64","25,78","23,46","72,88",448,339,401,1188,1442,N/A,N/,1442,227,N/A,0,227,https://asphaltepd.org/epd/d/eBUgJK/
BCC F0403 ,Franklinton Asphalt Plant ,Unmodified,3,58-28,35,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,WMA,135-163,-,-,-,-,"18,39","9,08","26,65","54,11",346,120,449,914,1107,N/A,N/,1107,318,N/A,0,318,https://asphaltepd.org/epd/d/bBUPKK/
BCC F0413 ,Franklinton Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene,4,70-22,25,-,-,-,-,densa,WMA,135-163,-,-,-,-,"28,11","2,38","26,65","57,14",515,32,449,996,1441,N/A,N/,1441,227,N/A,0,227,https://asphaltepd.org/epd/d/pMUYOQ/
BCC F0423 ,Franklinton Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene,5,70-22,20,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,WMA,135-163,-,-,-,-,"32,46","1,90","26,65","61,01",597,25,449,1071,1674,N/A,N/,1674,181,N/A,0,181,https://asphaltepd.org/epd/d/9JUO9v/
BCC F0453 ,Franklinton Asphalt Plant ,SBS modified - 3.5% styrene-butadiene-styrene,5,76-22,20,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,WMA,135-163,-,-,-,-,"34,52","13,60","26,65","74,77",635,179,449,1263,1786,N/A,N/,1786,181,N/A,0,181,https://asphaltepd.org/epd/d/YqUxeK/
BCC F0493 ,Franklinton Asphalt Plant ,Unmodified,4,67-22,25,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,WMA,135-163,-,-,-,-,"25,36","1,95","26,65","53,95",481,26,449,956,1553,N/A,N/,1553,227,N/A,0,227,https://asphaltepd.org/epd/d/85UXK3/
Opelousas - Level I - 12.5 mm - 0 RAP - PG70.22 ,PRAIRIE - Opelousas ,SBS modified - 3.5% styrene-butadiene-styrene,5,70-22,-,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,149-177,-,-,-,-,"38,20","18,41","31,63","88,23",704,245,532,1482,1971,N/A,N/,1971,0,N/A,0,0,https://asphaltepd.org/epd/d/xPUyq6/
Opelousas - Level I - 12.5 mm - 15 RAP - PG 70.22 ,PRAIRIE - Opelousas ,SBS modified - 3.5% styrene-butadiene-styrene,5,70-22,14,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,149-177,-,-,-,-,"33,25","16,13","31,63","81,00",611,215,532,1358,1711,N/A,N/,1711,124,N/A,0,124,https://asphaltepd.org/epd/d/85UoVq/
