Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
H187A09A2F04 ,Jessup Asphalt Plant ,5,5,76-22,15,-,-,-,-,densa,HMA,154-171,-,-,-,-,"32,51","9,26","23,63","65,40",598,123,363,1084,1674,N/A,N/A,1674,136,N/A,0,136,https://asphaltepd.org/epd/d/3JUlVA/
H187A09A3F04 ,Jessup Asphalt Plant ,5,5,76-22,15,-,-,-,-,densa,HMA,149-177,-,-,-,-,"32,51","7,28","23,63","63,42",598,97,363,1057,1674,N/A,N/A,1674,136,N/A,0,136,https://asphaltepd.org/epd/d/YqUmEG/
H187A09A4F04 ,Jessup Asphalt Plant ,5,5,76-22,15,-,-,-,-,densa,HMA,149-177,-,-,-,-,"32,51","8,13","23,63","64,26",598,108,363,1069,1674,N/A,N/A,1674,136,N/A,0,136,https://asphaltepd.org/epd/d/xPU5zm/
H187A09B5F01 ,Jessup Asphalt Plant ,6,6,76-22,15,-,-,-,-,aberta,HMA,149-177,-,-,-,5,"42,12","9,61","23,63","75,36",778,128,363,1268,2194,N/A,N/A,2194,136,N/A,0,136,https://asphaltepd.org/epd/d/9JUmAz/
H187A09R4F04 ,Jessup Asphalt Plant ,4,4,76-22,14,-,-,-,-,densa,HMA,154-177,-,-,-,-,"31,83","9,70","23,63","65,15",585,129,363,1077,1637,N/A,N/A,1637,130,N/A,0,130,https://asphaltepd.org/epd/d/OPUPmM/
H187A12A2F05 ,Jessup Asphalt Plant ,4,4,64-22,15,-,-,-,-,densa,HMA,138-160,-,-,-,-,"25,60","5,86","23,63","55,09",486,78,363,927,1562,N/A,N/A,1562,136,N/A,0,136,https://asphaltepd.org/epd/d/QVUJ7K/
H187A12A4C05 ,Jessup Asphalt Plant ,4,4,64-22,15,-,-,-,-,densa,HMA,138-160,-,-,-,-,"25,03","5,93","23,63","54,59",475,79,363,917,1525,N/A,N/A,1525,136,N/A,0,136,https://asphaltepd.org/epd/d/DdUGVZ/
H187A12A4F05 ,Jessup Asphalt Plant ,4,4,76-22,15,-,-,-,-,densa,HMA,152-163,-,-,-,-,"30,45","5,62","23,63","59,70",560,75,363,997,1562,N/A,N/A,1562,136,N/A,0,136,https://asphaltepd.org/epd/d/74U55V/
H187A12B5F06 ,Jessup Asphalt Plant ,6,6,76-22,15,-,-,-,-,aberta,HMA,149-177,-,-,-,4,"41,43","6,50","23,63","71,57",765,86,363,1214,2157,N/A,N/A,2157,136,N/A,0,136,https://asphaltepd.org/epd/d/bBULl9/
H187A12B5F07 ,Jessup Asphalt Plant ,6,6,64-22,15,-,-,-,-,aberta,HMA,143-177,-,-,-,3,"42,12","8,61","23,63","74,36",778,114,363,1255,2194,N/A,N/A,2194,136,N/A,0,136,https://asphaltepd.org/epd/d/pMU97L/
