Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
NEP-LE21-12CMR ,Lewiston HMA Plant ,PPA Modified - up to 1% polyphosphoric acid,4,64-28,19,-,-,-,-,densa,HMA,135-163,-,-,-,"13, 8","27,40","2,40","21,17","50,97",518,32,366,915,1637,N/A,N/,1637,173,N/A,0,173,https://asphaltepd.org/epd/d/eBU3AX/
119 65gyr PG64-28 LCP 119.20 ,Sidney ,PPA Modified - up to 1% polyphosphoric acid,5,64-28,17,-,-,-,-,densa,HMA,135-163,-,-,-,-,"32,16","1,32","19,73","53,21",608,18,330,956,1934,N/A,N/,1934,181,N/A,0,181,https://asphaltepd.org/epd/d/eBU4mO/
12.5mm 65gyr PG64-22 114.20 ,Sidney ,Unmodified,5,64-22,20,-,-,-,-,densa,HMA,135-163,-,-,-,-,"27,83","3,02","19,73","50,57",529,40,330,900,1711,N/A,N/,1711,181,N/A,0,181,https://asphaltepd.org/epd/d/4RUEV6/
12.5mm 65gyr PG64-28 114.20 ,Sidney ,PPA Modified - up to 1% polyphosphoric acid,5,64-28,20,-,-,-,-,densa,HMA,135-163,-,-,-,-,"28,56","0,44","19,73","48,73",540,6,330,876,1711,N/A,N/,1711,181,N/A,0,181,https://asphaltepd.org/epd/d/AKUv56/
12.5mm 65gyr PG64-28 114.20-1 ,Sidney ,PPA Modified - up to 1% polyphosphoric acid,5,64-28,20,-,-,-,-,densa,HMA,135-163,-,-,-,-,"28,56","2,76","19,73","51,05",540,37,330,907,1711,N/A,N/,1711,181,N/A,0,181,https://asphaltepd.org/epd/d/zwUzlj/
12.5mm 65gyr PG64-28 114.20-1Zy ,Sidney ,PPA Modified - up to 1% polyphosphoric acid + 1 terminal additive(s)*,5,64-28,20,-,-,-,-,densa,HMA,135-163,-,-,-,-,"28,56","2,82","19,73","51,11",540,37,330,908,1711,N/A,N/,1711,181,N/A,0,181,https://asphaltepd.org/epd/d/V4UPaP/
12.5mm 65gyr PG64-28 114.20-2ZyETAs ,Sidney ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s)*,5,64-28,20,-,-,-,-,densa,HMA,141-168,-,-,-,-,"33,14","3,83","19,73","56,69",610,51,330,991,1711,N/A,N/,1711,181,N/A,0,181,https://asphaltepd.org/epd/d/o8UK5X/
12.5mm 65gyr PG64-28 114.20-3ZyETCop ,Sidney ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s)*,5,64-28,20,-,-,-,-,densa,HMA,141-168,-,-,-,-,"33,14","2,27","19,73","55,14",610,30,330,970,1711,N/A,N/,1711,181,N/A,0,181,https://asphaltepd.org/epd/d/REUdqJ/
19.0mm 65gyr PG64-22 112.00 ,Sidney ,Unmodified,5,64-22,-,-,-,-,-,densa,HMA,135-163,-,-,-,-,"30,33","1,48","19,73","51,53",579,20,330,928,1860,N/A,N/,1860,0,N/A,0,0,https://asphaltepd.org/epd/d/1AUKX2/
19.0mm 65gyr PG64-28 112.00 ,Sidney ,PPA Modified - up to 1% polyphosphoric acid,5,64-28,-,-,-,-,-,densa,HMA,135-163,-,-,-,-,"31,12","1,48","19,73","52,33",590,20,330,940,1860,N/A,N/,1860,0,N/A,0,0,https://asphaltepd.org/epd/d/74U5L3/
19.0mm 65gyr PG64-28 112.00 ,Sidney ,PPA Modified - up to 1% polyphosphoric acid,5,64-28,-,-,-,-,-,densa,HMA,135-163,-,-,-,-,"31,12","0,84","19,73","51,69",590,11,330,932,1860,N/A,N/,1860,0,N/A,0,0,https://asphaltepd.org/epd/d/J5Ujy2/
19.0mm 65gyr PG64-28 112.20 ,Sidney ,PPA Modified - up to 1% polyphosphoric acid,4,64-28,20,-,-,-,-,densa,HMA,135-163,-,-,-,-,"25,63","1,65","19,73","47,00",484,22,330,836,1525,N/A,N/,1525,181,N/A,0,181,https://asphaltepd.org/epd/d/wRUMZD/
19.0mm 65gyr PG64-28 112.20. all Sidney ,Sidney ,PPA Modified - up to 1% polyphosphoric acid,4,64-28,20,-,-,-,-,densa,HMA,135-163,-,-,-,-,"25,63","0,57","19,73","45,92",484,8,330,821,1525,N/A,N/,1525,181,N/A,0,181,https://asphaltepd.org/epd/d/drUYMB/
9.5mm 65gyr PG64-22 115.20 ,Sidney ,Unmodified,5,64-22,20,-,-,-,-,densa,HMA,135-163,-,-,-,-,"30,69","1,41","19,73","51,82",585,19,330,934,1897,N/A,N/,1897,181,N/A,0,181,https://asphaltepd.org/epd/d/3JUlR7/
9.5mm 65gyr PG64-28 115.20 ,Sidney ,PPA Modified - up to 1% polyphosphoric acid,5,64-28,20,-,-,-,-,densa,HMA,135-163,-,-,-,-,"31,50","0,76","19,73","51,98",597,10,330,937,1897,N/A,N/,1897,181,N/A,0,181,https://asphaltepd.org/epd/d/vZUzag/
9.5mm 65gyr PG64-28E 115.20 ,Sidney ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s)*,5,64-28,20,-,-,-,-,densa,HMA,141-168,-,-,-,-,"36,58","3,56","19,73","59,86",674,47,330,1051,1897,N/A,N/,1897,181,N/A,0,181,https://asphaltepd.org/epd/d/MmUVQG/
