Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
BB20-16 ,Willard Asphalt ,3,3,64-22,29,-,-,-,-,densa,HMA,138-166,-,-,-,-,"20,31","1,54","20,26","42,11",383,20,350,754,1227,N/A,N/A,1227,263,N/A,0,263,https://asphaltepd.org/epd/d/rQUDgB/
BP12D RAP ,Willard Asphalt ,4,4,64-22,21,-,-,-,-,densa,HMA,138-166,-,-,-,-,"25,53","1,54","20,26","47,34",485,20,350,855,1562,N/A,N/A,1562,191,N/A,0,191,https://asphaltepd.org/epd/d/XZUDLR/
BP2 19-76 ,Willard Asphalt ,4,4,64-22,19,-,-,-,-,Não reportada,HMA,138-166,-,-,-,-,"26,13","1,54","20,26","47,93",496,20,350,867,1599,N/A,N/A,1599,174,N/A,0,174,https://asphaltepd.org/epd/d/3JU62q/
BP2 21-47 ,Willard Asphalt ,4,4,64-22,19,-,-,-,-,densa,HMA,138-166,-,-,-,-,"25,55","1,65","20,26","47,47",485,22,350,857,1562,N/A,N/A,1562,174,N/A,0,174,https://asphaltepd.org/epd/d/1AU2Q6/
MoDOT / Commercial Bituminous Base (PG64-22)  NFM #205-BB222-V ,North Asphalt ,5,5,64-22,-,-,-,-,-,densa,HMA,152-163,-,-,-,-,"28,61","3,37","37,73","69,72",545,45,654,1245,1748,N/A,N/A,1748,0,N/A,0,0,https://asphaltepd.org/epd/d/QVUDVj/
MoDOT / Commercial Bituminous Base (PG64-22)  NFM #205-BB224-R ,North Asphalt ,4,4,58-28,24,-,-,-,-,densa,HMA,150-161,-,-,-,-,"21,50","3,29","37,73","62,53",406,44,654,1105,1302,N/A,N/A,1302,219,N/A,0,219,https://asphaltepd.org/epd/d/LDURYe/
MoDOT / Commercial Bituminous Base (PG64-22) Fiber Reinforcing  NFM #552-BB224-R ,North Asphalt ,4,4,58-28,24,-,-,"Fibers, synthetic - Aramid*",< 1%,densa,HMA,150-161,-,-,-,-,"21,51","3,34","37,73","62,58",407,44,654,1105,1302,N/A,N/A,1302,219,N/A,0,219,https://asphaltepd.org/epd/d/1AUjzz/
MoDOT BP-1 / Commercial C HMA (PG64-22)  NFM #200-BP1225-R ,North Asphalt ,4,4,58-28,24,-,-,-,-,densa,HMA,150-161,-,-,-,-,"23,79","2,93","37,73","64,46",451,39,654,1144,1451,N/A,N/A,1451,218,N/A,0,218,https://asphaltepd.org/epd/d/rQUMZ2/
MoDOT BP-1 / Commercial C HMA (PG64-22)  NFM #200-BP1226-V ,North Asphalt ,5,5,64-22,-,-,-,-,-,densa,HMA,152-163,-,-,-,-,"30,33","2,88","36,57","69,78",579,38,641,1258,1860,N/A,N/A,1860,0,N/A,0,0,https://asphaltepd.org/epd/d/vZU2VE/
MoDOT BP-1 / Commercial C HMA (PG64-22) Fiber Reinforcing NFM #553-BP1225-R ,North Asphalt ,4,4,58-28,24,-,-,"Fibers, synthetic - Aramid*",< 1%,densa,HMA,150-161,-,-,-,-,"23,80","2,98","37,73","64,51",451,40,654,1145,1451,N/A,N/A,1451,218,N/A,0,218,https://asphaltepd.org/epd/d/OPUP9m/
MoDOT BP-2 HMA (PG64-22)  NFM #219-BP2222-R ,North Asphalt ,4,4,58-28,24,-,-,-,-,densa,HMA,150-161,-,-,-,-,"25,50","2,19","37,73","65,43",484,29,654,1168,1562,N/A,N/A,1562,217,N/A,0,217,https://asphaltepd.org/epd/d/LDURYJ/
MoDOT BP-2 HMA (PG64-22)  NFM #219-BP2227-V ,North Asphalt ,5,5,64-22,-,-,-,-,-,densa,HMA,152-163,1,-,-,-,"49,91","3,54","36,57","90,02",701,47,641,1389,1971,N/A,N/A,1971,0,N/A,0,0,https://asphaltepd.org/epd/d/LDUB7P/
MoDOT BP-2 HMA (PG64-22) Fiber Reinforcing NFM #219-BP2222-R ,North Asphalt ,4,4,58-28,24,-,-,"Fibers, synthetic - Aramid*",< 1%,densa,HMA,150-161,-,-,-,-,"25,51","2,24","37,73","65,48",484,30,654,1168,1563,N/A,N/A,1563,217,N/A,0,217,https://asphaltepd.org/epd/d/aRU7BX/
MoDOT Eco-Brawn Premium SP125BSM HMA (PG76-22)  NFM# 551-SP1252027-V ,North Asphalt ,6,6,76-22,-,-,-,"Fibers, natural - Cellulose*",< 1%,aberta,HMA,163-174,9,-,-,-,"157,51","15,35","36,57","209,44",1401,204,641,2246,2380,N/A,N/A,2380,0,N/A,0,0,https://asphaltepd.org/epd/d/drUqV4/
MoDOT SP095B HMA (PG64-22V)  NFM# 233-SP0952216-R ,North Asphalt ,4,4,64-22,24,-,-,-,-,densa,HMA,152-163,-,-,-,-,"27,35","4,98","36,57","68,90",517,66,641,1224,1637,N/A,N/A,1637,217,N/A,0,217,https://asphaltepd.org/epd/d/E3UyR6/
MoDOT SP095BSM HMA (PG64-22V)  NFM# 234-SP095224-V ,North Asphalt ,6,6,64-22,-,-,-,"Fibers, natural - Cellulose*",< 1%,densa,HMA,152-163,5,-,-,-,"98,61","7,94","36,57","143,12",1052,105,641,1798,2417,N/A,N/A,2417,0,N/A,0,0,https://asphaltepd.org/epd/d/mYUbMz/
MoDOT SP095CLP HMA (PG64-22V)  NFM# 298-SP0952243-R ,North Asphalt ,4,4,64-22,24,-,-,-,-,densa,HMA,152-163,0,-,-,-,"33,39","7,94","36,57","77,90",547,105,641,1293,1637,N/A,N/A,1637,217,N/A,0,217,https://asphaltepd.org/epd/d/mYUbP8/
