Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
RB 25.0C 18-0105-151 ,Pomona ,Unmodified,3,64-22,24,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,129-157,-,-,-,-,"18,08","1,26","20,20","39,53",340,17,349,705,1079,N/A,N/,1079,220,N/A,0,220,https://asphaltepd.org/epd/d/QVUJg8/
RB 25.0C 19-0093-151 ,Pomona ,Unmodified,3,58-28,29,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,129-157,-,-,-,-,"18,60","1,25","20,20","40,05",350,17,349,715,1116,N/A,N/,1116,264,N/A,0,264,https://asphaltepd.org/epd/d/OPUD7m/
RB 25.0C 20-0147-152 ,Pomona ,Unmodified,3,58-28,39,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,129-157,-,-,-,-,"16,21","1,81","20,20","38,22",303,24,349,676,967,N/A,N/,967,353,N/A,0,353,https://asphaltepd.org/epd/d/E3UJj6/
RI 19.0C 18-0109-151 ,Pomona ,Unmodified,4,64-22,24,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,129-157,-,-,-,-,"21,51","1,03","20,20","42,73",407,14,349,769,1302,N/A,N/,1302,219,N/A,0,219,https://asphaltepd.org/epd/d/KoUJXz/
RI 19.0C 19-0094-151 ,Pomona ,Unmodified,4,64-22,29,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,129-157,-,-,-,-,"21,46","1,25","20,20","42,90",405,17,349,771,1302,N/A,N/,1302,263,N/A,0,263,https://asphaltepd.org/epd/d/XZU2Jb/
RI 19.0C 20-0179-152 ,Pomona ,Unmodified,3,58-28,39,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,129-157,-,-,-,-,"17,92","1,24","20,20","39,36",336,16,349,702,1079,N/A,N/,1079,352,N/A,0,352,https://asphaltepd.org/epd/d/rQUrBV/
RS 9.5B 19-0072-151 ,Pomona ,Unmodified,5,64-22,28,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,129-157,-,-,-,-,"32,32","1,23","20,20","53,75",616,16,349,981,2009,N/A,N/,2009,257,N/A,0,257,https://asphaltepd.org/epd/d/1AUK33/
RS 9.5B 20-0146-152 ,Pomona ,Unmodified,5,58-28,41,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,129-157,-,-,-,-,"27,62","1,22","20,20","49,04",524,16,349,889,1711,N/A,N/,1711,372,N/A,0,372,https://asphaltepd.org/epd/d/OPUD1O/
RS 9.5C 19-0073-151 ,Pomona ,Unmodified,5,64-22,29,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,129-157,-,-,-,-,"27,75","1,24","20,20","49,19",527,16,349,893,1711,N/A,N/,1711,260,N/A,0,260,https://asphaltepd.org/epd/d/GZUGOy/
RS 9.5C 20-0145-152 ,Pomona ,Unmodified,4,58-28,38,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,129-157,-,-,-,-,"24,79","1,23","20,20","46,22",470,16,349,835,1525,N/A,N/,1525,348,N/A,0,348,https://asphaltepd.org/epd/d/ZXUE5D/
RB 25.0C 18-0303-152 ,Blythe Construction Arrowood Plant ,Unmodified + 1 terminal additive(s),3,64-22,29,-,-,-,-,densa,HMA,129-157,-,-,-,-,"18,02","1,78","10,36","30,17",339,24,164,527,1079,N/A,N/,1079,264,N/A,0,264,https://asphaltepd.org/epd/d/keUPA2/
RI 19.0C 20-0380-151 ,Blythe Construction Arrowood Plant ,Unmodified + 1 terminal additive(s),3,58-28,39,-,-,-,-,densa,HMA,129-157,-,-,-,-,"17,35","1,30","10,36","29,02",325,17,164,507,1041,N/A,N/,1041,353,N/A,0,353,https://asphaltepd.org/epd/d/6QUDa8/
RS 9.5B 20-0419-151 ,Blythe Construction Arrowood Plant ,Unmodified + 1 terminal additive(s),4,58-28,38,-,-,-,-,densa,HMA,129-157,-,-,-,-,"24,21","1,85","10,36","36,42",458,25,164,647,1488,N/A,N/,1488,348,N/A,0,348,https://asphaltepd.org/epd/d/OPUPvo/
RS 9.5C 20-0420-151 ,Blythe Construction Arrowood Plant ,Unmodified + 1 terminal additive(s),4,58-28,38,-,-,-,-,densa,HMA,129-157,-,-,-,-,"24,21","1,85","10,36","36,42",458,25,164,647,1488,N/A,N/,1488,348,N/A,0,348,https://asphaltepd.org/epd/d/85UMEB/
RS9.5B 19-0290-221 ,Westgate Asphalt Plant ,Unmodified + 1 terminal additive(s),4,64-22,36,-,-,-,-,densa,HMA,135-157,-,-,-,-,"26,52","2,59","18,78","47,89",503,34,326,864,1637,N/A,N/,1637,323,N/A,0,323,https://asphaltepd.org/epd/d/xPUyY2/
RS9.5D ,Westgate Asphalt Plant ,PPA Modified - up to 1% polyphosphoric acid + 1 terminal additive(s),5,76-22,14,-,-,-,-,densa,HMA,163-177,-,-,-,-,"32,15","8,07","18,78","58,99",609,107,326,1042,1934,N/A,N/,1934,130,N/A,0,130,https://asphaltepd.org/epd/d/85Uo9e/
