Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
MNDOT 2360 SPWEA240 ,Fargo Plant ,Unmodified,4,58-28,24,-,-,-,-,densa,HMA,149-160,-,-,-,-,"26,13","5,20","19,96","51,29",496,69,331,896,1603,N/A,N/,1603,217,N/A,0,217,https://asphaltepd.org/epd/d/DdUxjG/
MNDOT 2360 SPWEB340 ,Fargo Plant ,Unmodified,4,58-28,14,-,-,-,-,densa,HMA,149-160,-,-,-,-,"26,23","5,75","19,96","51,95",499,76,331,906,1603,N/A,N/,1603,130,N/A,0,130,https://asphaltepd.org/epd/d/yeUb1r/
NDDOT FAA 42 ,Fargo Plant ,Unmodified,5,58-28,19,-,-,-,-,densa,HMA,149-160,-,-,-,-,"28,41","4,99","19,96","53,36",541,66,331,938,1748,N/A,N/,1748,172,N/A,0,172,https://asphaltepd.org/epd/d/keULVP/
NDDOT FAA 42 Virgin ,Fargo Plant ,Unmodified,5,58-28,-,-,-,-,-,densa,HMA,149-160,-,-,-,-,"30,55","6,92","19,96","57,44",583,92,331,1006,1875,N/A,N/,1875,0,N/A,0,0,https://asphaltepd.org/epd/d/REUz7a/
NDDOT FAA 43 ,Fargo Plant ,SBS modified - 3.5% styrene-butadiene-styrene,5,58-34,16,-,-,-,-,densa,HMA,149-166,-,-,-,-,"32,50","4,55","19,96","57,01",598,60,331,989,1674,N/A,N/,1674,141,N/A,0,141,https://asphaltepd.org/epd/d/6QUZVZ/
NDDOT FAA 43 15% RAP ,Fargo Plant ,Unmodified,4,58-28,14,-,-,-,-,densa,HMA,149-160,-,-,-,-,"26,23","4,71","19,96","50,90",499,63,331,892,1603,N/A,N/,1603,130,N/A,0,130,https://asphaltepd.org/epd/d/qmUeQX/
NDDOT FAA 43 Virgin ,Fargo Plant ,SBS modified - 3.5% styrene-butadiene-styrene,5,58-28,-,-,-,-,-,densa,HMA,149-160,-,-,-,-,"35,07","6,19","19,96","61,22",647,82,331,1059,1804,N/A,N/,1804,0,N/A,0,0,https://asphaltepd.org/epd/d/V4U9V8/
NDDOT FAA 43 ,Jamestown Plant ,Unmodified,6,58-28,-,-,-,-,-,densa,HMA,149-163,-,-,-,-,"34,10","6,28","27,18","67,55",652,83,310,1045,2105,N/A,N/,2105,0,N/A,0,0,https://asphaltepd.org/epd/d/o8Uea6/
NDDOT FAA 45 ,Jamestown Plant ,SBS modified - 3.5% styrene-butadiene-styrene,4,58-28,19,-,-,-,-,densa,HMA,149-160,-,-,-,-,"29,23","6,97","27,18","63,38",537,93,310,939,1499,N/A,N/,1499,174,N/A,0,174,https://asphaltepd.org/epd/d/pMUYdk/
NDDOT FAA 45 RAP 10% ,Jamestown Plant ,SBS modified - 3.5% styrene-butadiene-styrene,5,58-34,10,-,-,-,-,densa,HMA,149-160,-,-,-,-,"34,35","7,74","27,18","69,27",633,103,310,1046,1770,N/A,N/,1770,86,N/A,0,86,https://asphaltepd.org/epd/d/9JUO2Z/
