Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
12.5mm 75gyr PG58-28 124.25 ,Portsmouth ,Unmodified,5,58-28,25,-,-,-,-,densa,HMA,139-163,-,-,-,-,"27,78","1,81","23,51","53,10",528,24,405,957,1711,N/A,N/,1711,227,N/A,0,227,https://asphaltepd.org/epd/d/1AUKpX/
12.5mm 75gyr PG64-22 124.10 ,Portsmouth ,Unmodified,5,64-22,10,-,-,-,-,densa,HMA,139-163,-,-,-,-,"27,94","2,18","23,51","53,63",532,29,405,966,1711,N/A,N/,1711,91,N/A,0,91,https://asphaltepd.org/epd/d/ZXUEbZ/
12.5mm 75gyr PG64-22 124.20 ,Portsmouth ,Unmodified,5,64-22,20,-,-,-,-,densa,HMA,139-163,-,-,-,-,"27,83","1,93","23,51","53,27",529,26,405,960,1711,N/A,N/,1711,181,N/A,0,181,https://asphaltepd.org/epd/d/bBULml/
19.0mm 75gyr PG64-22 122.10 ,Portsmouth ,Unmodified,4,64-22,10,-,-,-,-,densa,HMA,139-163,-,-,-,-,"23,37","2,14","23,51","49,02",443,28,405,877,1413,N/A,N/,1413,91,N/A,0,91,https://asphaltepd.org/epd/d/pMU9Pb/
19.0mm 75gyr PG64-22 122.20 ,Portsmouth ,Unmodified,4,64-22,20,-,-,-,-,densa,HMA,139-163,-,-,-,-,"23,26","1,89","23,51","48,67",441,25,405,871,1413,N/A,N/,1413,181,N/A,0,181,https://asphaltepd.org/epd/d/9JUm1k/
19.0mm fine 50gyr PG64-22 103.10 ,Portsmouth ,Unmodified,5,64-22,10,-,-,-,-,densa,HMA,139-163,-,-,-,-,"27,36","1,85","23,51","52,73",521,25,405,951,1674,N/A,N/,1674,91,N/A,0,91,https://asphaltepd.org/epd/d/YqUmDw/
19.0mm fine 50gyr PG64-28 103.20 ,Portsmouth ,PPA Modified - up to 1% polyphosphoric acid,5,64-28,20,-,-,-,-,densa,HMA,151-157,-,-,-,-,"27,98","1,93","23,51","53,42",529,26,405,960,1674,N/A,N/,1674,181,N/A,0,181,https://asphaltepd.org/epd/d/xPU5oL/
9.5mm 75gyr PG58-28 125.20 ,Portsmouth ,Unmodified,5,58-28,20,-,-,-,-,densa,HMA,139-163,-,-,-,-,"31,83","1,95","23,51","57,29",607,26,405,1038,1971,N/A,N/,1971,181,N/A,0,181,https://asphaltepd.org/epd/d/3JUlLp/
9.5mm 75gyr PG58-28 125.25 ,Portsmouth ,Unmodified,5,58-28,25,-,-,-,-,densa,HMA,139-163,-,-,-,-,"30,63","1,24","23,51","55,38",584,16,405,1005,1897,N/A,N/,1897,227,N/A,0,227,https://asphaltepd.org/epd/d/P5Ug9A/
9.5mm 75gyr PG64-22 125.10 ,Portsmouth ,Unmodified,6,64-22,10,-,-,-,-,densa,HMA,139-163,-,-,-,-,"34,79","2,19","23,51","60,50",665,29,405,1099,2157,N/A,N/,2157,91,N/A,0,91,https://asphaltepd.org/epd/d/KoUJY8/
9.5mm 75gyr PG64-22 125.20 ,Portsmouth ,Unmodified,6,64-22,20,-,-,-,-,densa,HMA,139-163,-,-,-,-,"34,69","1,96","23,51","60,16",662,26,405,1094,2157,N/A,N/,2157,181,N/A,0,181,https://asphaltepd.org/epd/d/1AUK17/
9.5mm 75gyr PG76-28 285.20 ,Portsmouth ,SBS modified - 3.5% styrene-butadiene-styrene,5,76-28,20,-,-,-,-,densa,HMA,168-174,-,-,-,-,"37,95","3,10","23,51","64,56",699,41,405,1146,1971,N/A,N/,1971,181,N/A,0,181,https://asphaltepd.org/epd/d/QVUJqX/
12.5mm 65gyr PG70-28 114.20 ,West Lebanon ,SBS modified - 3.5% styrene-butadiene-styrene,4,70-28,20,-,-,-,-,densa,HMA,154-176,-,-,-,-,"30,39","0,69","18,23","49,31",558,9,315,883,1562,N/A,N/,1562,181,N/A,0,181,https://asphaltepd.org/epd/d/J5UjxK/
12.5mm 75gyr PG58-28 124.20 ,West Lebanon ,Unmodified,4,58-28,20,-,-,-,-,densa,HMA,139-161,-,-,-,-,"25,55","0,95","18,23","44,73",485,13,315,813,1562,N/A,N/,1562,181,N/A,0,181,https://asphaltepd.org/epd/d/drUYJA/
12.5mm 80gyr PG70-28 134.20 ,West Lebanon ,SBS modified - 3.5% styrene-butadiene-styrene,4,70-28,20,-,-,-,-,densa,HMA,154-176,-,-,-,-,"30,39","0,69","18,23","49,31",558,9,315,883,1562,N/A,N/,1562,181,N/A,0,181,https://asphaltepd.org/epd/d/vZUzPZ/
19.0mm 65gyr PG70-28 112.20 ,West Lebanon ,SBS modified - 3.5% styrene-butadiene-styrene,4,70-28,20,-,-,-,-,densa,HMA,154-176,-,-,-,-,"25,59","0,57","18,23","44,39",469,8,315,791,1302,N/A,N/,1302,181,N/A,0,181,https://asphaltepd.org/epd/d/74U5BD/
19.0mm 75gyr PG58-28 122.20 ,West Lebanon ,Unmodified,3,58-28,20,-,-,-,-,densa,HMA,139-161,-,-,-,-,"20,98","0,77","18,23","39,98",396,10,315,722,1265,N/A,N/,1265,181,N/A,0,181,https://asphaltepd.org/epd/d/eBU4Me/
19.0mm Fine 75gyr PG58-28 123.20 ,West Lebanon ,Unmodified,4,58-28,20,-,-,-,-,densa,HMA,139-161,-,-,-,-,"22,69","0,84","18,23","41,76",430,11,315,756,1376,N/A,N/,1376,181,N/A,0,181,https://asphaltepd.org/epd/d/wRUM3a/
9.5mm 65gyr PG58-28 115.20 ,West Lebanon ,Unmodified,5,58-28,20,-,-,-,-,densa,HMA,139-161,-,-,-,-,"28,97","1,49","18,23","48,70",552,20,315,887,1785,N/A,N/,1785,181,N/A,0,181,https://asphaltepd.org/epd/d/V4UP3L/
9.5mm 65gyr PG70-28 ,West Lebanon ,SBS modified - 3.5% styrene-butadiene-styrene,5,70-28,20,-,-,-,-,densa,HMA,153-175,-,-,-,-,"33,83","1,23","18,23","53,29",622,16,315,954,1748,N/A,N/,1748,181,N/A,0,181,https://asphaltepd.org/epd/d/o8UKwP/
9.5mm 65gyr PG70-28 115.20 ,West Lebanon ,SBS modified - 3.5% styrene-butadiene-styrene,5,70-28,20,-,-,-,-,densa,HMA,154-176,-,-,-,-,"33,83","0,77","18,23","52,83",622,10,315,948,1748,N/A,N/,1748,181,N/A,0,181,https://asphaltepd.org/epd/d/AKUv4e/
9.5mm 75gyr PG58-28 125.20 ,West Lebanon ,Unmodified,5,58-28,20,-,-,-,-,densa,HMA,139-161,-,-,-,-,"30,12","1,13","18,23","49,48",574,15,315,904,1860,N/A,N/,1860,181,N/A,0,181,https://asphaltepd.org/epd/d/MmUVbQ/
9.5mm 80gyr PG70-28 135.20 ,West Lebanon ,SBS modified - 3.5% styrene-butadiene-styrene,5,70-28,20,-,-,-,-,densa,HMA,154-176,-,-,-,-,"33,83","0,77","18,23","52,83",622,10,315,948,1748,N/A,N/,1748,181,N/A,0,181,https://asphaltepd.org/epd/d/REUdxE/
9.5mm Fine 50gyr PG58-28 106.20 ,West Lebanon ,Unmodified,6,58-28,20,-,-,-,-,densa,HMA,139-161,-,-,-,-,"34,12","1,29","18,23","53,64",651,17,315,984,2120,N/A,N/,2120,181,N/A,0,181,https://asphaltepd.org/epd/d/zwUz9R/
BWC Type C VT PG70-28 249.00 ,West Lebanon ,SBS modified - 3.5% styrene-butadiene-styrene,5,70-28,-,-,-,-,-,open,HMA,154-176,-,-,-,-,"34,72","1,69","18,23","54,65",640,22,315,978,1785,N/A,N/,1785,0,N/A,0,0,https://asphaltepd.org/epd/d/lyU3rd/
