Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
Mix 2 ,Braenstone of Sparta ,5,5,82-22,-,-,-,-,-,densa,HMA,157-171,-,-,-,-,"35,41","1,50","20,97","57,88",653,20,362,1035,1823,N/A,N/A,1823,0,N/A,0,0,https://asphaltepd.org/epd/d/keUZV/
Mix 3 ,Braenstone of Sparta ,5,5,64-22,10,-,-,-,-,densa,HMA,135-163,-,-,-,-,"32,51","0,87","20,97","54,34",620,12,362,994,2009,N/A,N/A,2009,91,N/A,0,91,https://asphaltepd.org/epd/d/keUwg/
Plant Mix Macadam ,Braenstone of Sparta ,3,3,64-22,10,-,-,-,-,porous,HMA,135-163,-,-,-,-,"17,08","0,46","20,97","38,50",321,6,362,690,1004,N/A,N/A,1004,93,N/A,0,93,https://asphaltepd.org/epd/d/qmU4B/
Plant Mix Macadam ,Stone Industries Inc ,2,2,64-22,10,-,-,-,-,porous,HMA,135-163,-,-,-,-,"15,65","0,14","16,72","32,51",294,2,286,581,911,N/A,N/A,911,93,N/A,0,93,https://asphaltepd.org/epd/d/74UvyV/
I-2A/Mix 1 ,BOUND BROOK (BATCH) ASPHALT PLANT ,4,4,64-22,-,-,-,-,-,densa,HMA,135-163,-,-,-,-,"26,90","0,59","25,00","52,49",512,8,441,961,1637,N/A,N/A,1637,0,N/A,0,0,https://asphaltepd.org/epd/d/QVUDZJ/
Plant Mix Macadam ,BOUND BROOK (BATCH) ASPHALT PLANT ,3,3,64-22,-,-,-,-,-,aberta,HMA,135-163,-,-,-,-,"17,76","0,44","25,00","43,20",335,6,441,782,1041,N/A,N/A,1041,0,N/A,0,0,https://asphaltepd.org/epd/d/aRUM4V/
I-4A/Mix 2 ,BOUND BROOK (DRUM) ASPHALT PLANT ,5,5,64-22,-,-,-,-,-,densa,HMA,135-163,-,-,-,-,"29,75","0,63","14,99","45,37",568,8,260,836,1823,N/A,N/A,1823,0,N/A,0,0,https://asphaltepd.org/epd/d/P5UEGR/
I-4A/Mix 2 76/22 ,BOUND BROOK (DRUM) ASPHALT PLANT ,5,5,76-22,-,-,-,Warm Mix Additive - Hybrid technologies*,< 1%,densa,HMA,152-168,-,-,-,-,"36,29","0,69","14,99","51,96",669,9,260,939,1870,N/A,N/A,1870,0,N/A,0,0,https://asphaltepd.org/epd/d/keUPw5/
PA-5/Mix 3 WMA ,BOUND BROOK (DRUM) ASPHALT PLANT ,5,5,64-22,-,-,-,Warm Mix Additive - Hybrid technologies*,< 1%,densa,WMA,135-143,-,-,1,-,"29,60","0,67","14,99","45,26",565,9,260,834,1813,N/A,N/A,1813,0,N/A,0,0,https://asphaltepd.org/epd/d/BZU4E9/
PA-5/Mix 3/PA I-4 ,BOUND BROOK (DRUM) ASPHALT PLANT ,5,5,Não reportado,-,-,-,-,-,Não reportada,HMA,135-163,-,-,1,-,"32,35","0,67","14,99","48,00",618,9,260,887,1991,N/A,N/A,1991,0,N/A,0,0,https://asphaltepd.org/epd/d/xPUX74/
Plant Mix Macadam ,BOUND BROOK (DRUM) ASPHALT PLANT ,3,3,64-22,-,-,-,-,-,aberta,HMA,135-163,-,-,-,-,"17,76","0,44","14,99","33,19",335,6,260,601,1041,N/A,N/A,1041,0,N/A,0,0,https://asphaltepd.org/epd/d/pMU5rG/
12.5 SMA with Fiber ,Earle Jackson ,6,6,76-22,-,-,-,"Fibers, natural - Cellulose*",< 1%,aberta,HMA,152-163,8,-,-,-,"144,85","8,29","17,55","170,68",1331,110,309,1750,2350,N/A,N/A,2350,0,N/A,0,0,https://asphaltepd.org/epd/d/rQUo2D/
12.5M64 (Intermediate) ,Earle Jackson ,4,4,64-22,25,-,-,-,-,densa,HMA,152-157,-,-,-,-,"23,21","4,95","17,55","45,70",440,66,309,815,1413,N/A,N/A,1413,227,N/A,0,227,https://asphaltepd.org/epd/d/1AUkO1/
12.5M64 (Surface) ,Earle Jackson ,4,4,64-22,15,-,-,-,-,densa,HMA,152-157,-,-,-,-,"26,17","5,61","17,55","49,32",497,74,309,881,1599,N/A,N/A,1599,136,N/A,0,136,https://asphaltepd.org/epd/d/rQUo2X/
12.5ME ,Earle Jackson ,4,4,76-22,15,-,-,-,-,densa,HMA,157-163,-,-,-,-,"31,13","5,61","17,55","54,28",572,74,309,956,1599,N/A,N/A,1599,136,N/A,0,136,https://asphaltepd.org/epd/d/P5UEZ5/
