Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
174 ,Upstone Materials Plattsburgh Quarry ,5,5,Não reportado,-,-,-,Warm Mix Additive - Hybrid technologies*,< 1%,Não reportada,WMA,121-152,-,-,-,-,"32,19","12,60","18,87","63,66",615,167,315,1098,1981,N/A,N/A,1981,0,N/A,0,0,https://asphaltepd.org/epd/d/1AU6R/
12.5mm 75gyr 64S-22 6123.25 ,South Bethlehem ,4,4,64-22,25,-,-,-,-,densa,HMA,141-157,-,-,-,-,"24,46","0,40","17,67","42,53",464,5,311,780,1495,N/A,N/A,1495,227,N/A,0,227,https://asphaltepd.org/epd/d/aRUd9d/
12.5mm 75gyr 64S-22 6123.30 ,South Bethlehem ,4,4,64-22,30,-,-,-,-,densa,HMA,141-157,-,-,-,-,"22,87","0,36","17,67","40,90",433,5,311,748,1395,N/A,N/A,1395,272,N/A,0,272,https://asphaltepd.org/epd/d/OPUD7G/
12.5mm 75gyr 64S-22 6123.35 ,South Bethlehem ,3,3,64-22,35,-,-,-,-,densa,HMA,141-157,-,-,-,-,"21,27","0,34","17,67","39,28",402,4,311,717,1294,N/A,N/A,1294,318,N/A,0,318,https://asphaltepd.org/epd/d/ZXUEOQ/
12.5mm 75gyr 64S-22 6153.20A ,South Bethlehem ,4,4,64-22,20,-,-,-,-,densa,WMA,127-143,-,-,-,-,"26,69","0,43","17,67","44,78",507,6,311,824,1637,N/A,N/A,1637,181,N/A,0,181,https://asphaltepd.org/epd/d/pMU9Xp/
12.5mm 75gyr 64S-22 6153.25A ,South Bethlehem ,4,4,64-22,25,-,-,-,-,densa,WMA,127-143,-,-,-,-,"24,52","0,40","17,67","42,59",465,5,311,781,1499,N/A,N/A,1499,227,N/A,0,227,https://asphaltepd.org/epd/d/9JUmY4/
12.5mm 75gyr 64S-22 6513.30A ,South Bethlehem ,4,4,64-22,30,-,-,-,-,densa,WMA,127-143,-,-,-,-,"22,87","0,37","17,67","40,90",433,5,311,748,1395,N/A,N/A,1395,272,N/A,0,272,https://asphaltepd.org/epd/d/YqUmOr/
12.5mm 75gyr 64V-22 6154.20A ,South Bethlehem ,4,4,64-22,20,Ingevity Evotherm M1,< 1%,-,-,densa,WMA,127-143,-,-,-,-,"34,19","0,72","17,67","52,57",626,10,311,946,1638,N/A,N/A,1638,182,N/A,0,182,https://asphaltepd.org/epd/d/xPU5mV/
12.5mm 75gyr 64V-22 6154.20A (Purch As) ,South Bethlehem ,6,6,64-22,19,-,-,Warm Mix Additive - Hybrid technologies*,< 1%,densa,WMA,121-146,-,-,-,-,"42,79","1,18","17,67","61,63",790,16,311,1116,2233,N/A,N/A,2233,171,N/A,0,171,https://asphaltepd.org/epd/d/85Urgl/
12.5mm Marsh 64S-22 5040.0 ,South Bethlehem ,5,5,64-22,-,-,-,-,-,other,HMA,157-163,-,-,-,-,"32,61","0,36","17,67","50,64",623,5,311,938,2009,N/A,N/A,2009,0,N/A,0,0,https://asphaltepd.org/epd/d/BZUypp/
12.5mm Marsh 64S-22 5040.10 ,South Bethlehem ,5,5,64-22,10,-,-,-,-,other,HMA,157-163,-,-,-,-,"30,16","0,47","17,67","48,30",575,6,311,892,1856,N/A,N/A,1856,91,N/A,0,91,https://asphaltepd.org/epd/d/25Ublz/
12.5mm Marsh 64S-22 5040.20 ,South Bethlehem ,5,5,64-22,20,-,-,-,-,other,HMA,157-163,-,-,-,-,"27,37","0,76","17,67","45,80",521,10,311,841,1681,N/A,N/A,1681,181,N/A,0,181,https://asphaltepd.org/epd/d/j5UQ1a/
12.5mm Marsh 64S-22 5040.25 ,South Bethlehem ,4,4,64-22,25,-,-,-,-,other,HMA,157-163,-,-,-,-,"26,52","0,50","17,67","44,69",504,7,311,821,1629,N/A,N/A,1629,227,N/A,0,227,https://asphaltepd.org/epd/d/6QU6Jj/
12.5mm Marsh 64S-22 5040.30 ,South Bethlehem ,4,4,64-22,30,-,-,-,-,other,HMA,157-163,-,-,-,-,"23,55","0,44","17,67","41,66",446,6,311,763,1439,N/A,N/A,1439,272,N/A,0,272,https://asphaltepd.org/epd/d/keUvR4/
12.5mm Marsh 64S-22 5040.35 ,South Bethlehem ,4,4,64-22,35,-,-,-,-,other,HMA,157-163,-,-,-,-,"22,25","0,54","17,67","40,45",420,7,311,738,1358,N/A,N/A,1358,318,N/A,0,318,https://asphaltepd.org/epd/d/qmU69v/
12.5mm Marsh 64S-22 5040.40 ,South Bethlehem ,3,3,64-22,40,-,-,-,-,other,HMA,157-163,-,-,-,-,"20,76","0,43","17,67","38,86",391,6,311,708,1265,N/A,N/A,1265,363,N/A,0,363,https://asphaltepd.org/epd/d/yeUOAb/
25MM Marsh 64S-22 5020.20 ,South Bethlehem ,4,4,64-22,20,-,-,-,-,other,HMA,157-163,-,-,-,-,"22,57","0,09","17,67","40,33",427,1,311,739,1369,N/A,N/A,1369,181,N/A,0,181,https://asphaltepd.org/epd/d/o8UKlw/
25MM Marsh 64S-22 5020.28 ,South Bethlehem ,3,3,64-22,28,-,-,-,-,other,HMA,157-163,-,-,-,-,"19,35","0,08","17,67","37,09",365,1,311,676,1164,N/A,N/A,1164,254,N/A,0,254,https://asphaltepd.org/epd/d/REUd9d/
25MM Marsh 64S-22 5020.30 ,South Bethlehem ,3,3,64-22,30,-,-,-,-,other,HMA,157-163,-,-,-,-,"18,76","0,08","17,67","36,50",353,1,311,665,1127,N/A,N/A,1127,272,N/A,0,272,https://asphaltepd.org/epd/d/6QU65j/
25mm Marsh 64S-22 5020.25 ,South Bethlehem ,3,3,64-22,25,-,-,-,-,other,HMA,157--4°,-,-,-,-,"20,18","0,08","17,67","37,93",381,1,311,693,1216,N/A,N/A,1216,227,N/A,0,227,https://asphaltepd.org/epd/d/keUvp4/
37.5mm Marsh 64S-22 5010.20 ,South Bethlehem ,3,3,64-22,20,-,-,-,-,other,HMA,157-163,-,-,-,-,"19,72","0,08","17,67","37,47",372,1,311,684,1183,N/A,N/A,1183,181,N/A,0,181,https://asphaltepd.org/epd/d/qmU63v/
37.5mm Marsh 64S-22 5010.30 ,South Bethlehem ,3,3,64-22,30,-,-,-,-,other,HMA,157-163,-,-,-,-,"17,21","0,07","17,67","34,96",323,1,311,635,1027,N/A,N/A,1027,272,N/A,0,272,https://asphaltepd.org/epd/d/DdUG8O/
37.5mm Marsh 64S-22 5010.35 ,South Bethlehem ,3,3,64-22,35,-,-,-,-,other,HMA,157-163,-,-,-,-,"16,08","0,07","17,67","33,81",301,1,311,612,956,N/A,N/A,956,318,N/A,0,318,https://asphaltepd.org/epd/d/yeUOwb/
6.3mm 75 gyr 64S-22 5653.20A ,South Bethlehem ,5,5,64-22,20,-,-,Warm Mix Additive - Hybrid technologies*,< 1%,densa,WMA,129-143,-,-,-,-,"30,06","0,44","17,67","48,17",573,6,311,889,1856,N/A,N/A,1856,181,N/A,0,181,https://asphaltepd.org/epd/d/o8UKmw/
9.5MM 75 gyr 64V-22 6524.20A ,South Bethlehem ,5,5,64-22,20,-,-,Warm Mix Additive - Hybrid technologies*,< 1%,densa,WMA,121-146,-,-,-,-,"35,90","1,62","17,67","55,19",661,22,311,994,1861,N/A,N/A,1861,182,N/A,0,182,https://asphaltepd.org/epd/d/REUdLd/
9.5mm 75 gyr 64S-22 6523.20 ,South Bethlehem ,5,5,64-22,20,-,-,-,-,densa,HMA,141-157,-,-,-,-,"30,23","0,44","17,67","48,34",576,6,311,893,1867,N/A,N/A,1867,181,N/A,0,181,https://asphaltepd.org/epd/d/MmUVJq/
9.5mm 75gyr 64S-22 6523.30 ,South Bethlehem ,5,5,64-22,20,-,-,-,-,densa,WMA,138-200,-,-,-,-,"27,26","0,41","17,67","45,34",518,5,311,835,1674,N/A,N/A,1674,181,N/A,0,181,https://asphaltepd.org/epd/d/V4UPjp/
9.5mm 75gyr 64S-22 6523.30 ,South Bethlehem ,4,4,64-22,30,-,-,-,-,densa,HMA,138-157,-,-,-,-,"26,30","0,38","17,67","44,34",499,5,311,815,1618,N/A,N/A,1618,272,N/A,0,272,https://asphaltepd.org/epd/d/lyU3OM/
PA-5 (PG 64-22) ,"City Asphalt, LLC. ",5,5,64-22,-,-,-,-,-,densa,HMA,153-157,-,-,-,-,"32,04","4,33","19,40","55,76",612,57,317,986,1971,N/A,N/A,1971,0,N/A,0,0,https://asphaltepd.org/epd/d/o8UwQK/
12.5mm 75gyr PG64-22 095695 20 ,Dolomite Henrietta Asphalt Drum Plant ,4,4,64-22,19,-,-,-,-,densa,WMA,135-152,-,-,-,-,"30,40","3,64","17,02","51,06",559,48,297,904,1562,N/A,N/A,1562,171,N/A,0,171,https://asphaltepd.org/epd/d/pMU9xX/
12.5mm 75gyr PG64-22 095695F 20F ,Dolomite Henrietta Asphalt Drum Plant ,4,4,64-22,19,-,-,Aramid Fiber - SurfaceTech AceXP,< 1%,densa,WMA,135-152,-,-,-,-,"30,96","3,65","17,02","51,62",570,48,297,916,1564,N/A,N/A,1564,171,N/A,0,171,https://asphaltepd.org/epd/d/mYUr38/
19.0mm 75gyr PG64-22 095692 20 ,Dolomite Henrietta Asphalt Drum Plant ,4,4,64-22,19,-,-,-,-,densa,WMA,135-152,-,-,-,-,"25,60","3,56","17,02","46,17",469,47,297,813,1302,N/A,N/A,1302,173,N/A,0,173,https://asphaltepd.org/epd/d/E3UJr1/
25.0mm 75gyr PG64-22 095691 20 ,Dolomite Henrietta Asphalt Drum Plant ,3,3,64-22,19,-,-,-,-,densa,WMA,135-152,-,-,-,-,"24,22","3,54","17,02","44,78",443,47,297,787,1227,N/A,N/A,1227,173,N/A,0,173,https://asphaltepd.org/epd/d/KoUJbq/
37.5mm 75gyr PG64-22 095690 30 ,Dolomite Henrietta Asphalt Drum Plant ,2,2,64-22,29,-,-,-,-,densa,WMA,135-152,-,-,-,-,"15,88","3,26","17,02","36,15",287,43,297,627,781,N/A,N/A,781,261,N/A,0,261,https://asphaltepd.org/epd/d/XZU2Rz/
6.3mm 75gyr PG64-22 095699 20 ,Dolomite Henrietta Asphalt Drum Plant ,5,5,64-22,19,-,-,-,-,densa,HMA,135-152,-,-,-,-,"34,53","3,70","17,02","55,24",636,49,297,982,1785,N/A,N/A,1785,171,N/A,0,171,https://asphaltepd.org/epd/d/rQUrVK/
9.5mm  75gyr PG64-22 095698 20 ,Dolomite Henrietta Asphalt Drum Plant ,5,5,64-22,19,-,-,-,-,densa,WMA,135-152,-,-,-,-,"34,53","3,70","17,02","55,24",636,49,297,982,1785,N/A,N/A,1785,171,N/A,0,171,https://asphaltepd.org/epd/d/OPUDxz/
FAA Mix #1 PG 76-22 ,Flushing Asphalt LLC ,4,4,76-22,-,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,152-168,-,-,-,-,"27,99","11,13","15,49","54,61",514,148,269,931,1420,N/A,N/A,1420,0,N/A,0,0,https://asphaltepd.org/epd/d/9JUaJP/
FAA Mix #2 PG 82-22 ,Flushing Asphalt LLC ,5,5,82-22,-,Warm Mix Additive - Chemical*,< 1%,-,-,aberta,HMA,152-168,-,-,-,-,"34,20","11,13","15,49","60,82",630,148,269,1047,1757,N/A,N/A,1757,0,N/A,0,0,https://asphaltepd.org/epd/d/pMUE63/
FAA Mix #3 PG 64-22 ,Flushing Asphalt LLC ,5,5,64-22,-,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,135-163,-,-,-,-,"32,19","11,12","15,49","58,80",615,148,269,1031,1981,N/A,N/A,1981,0,N/A,0,0,https://asphaltepd.org/epd/d/E3UDGv/
FAA Mix #3 PG 64-22 W/M ,Flushing Asphalt LLC ,5,5,64-22,-,Warm Mix Additive - Chemical*,< 1%,-,-,densa,WMA,146-152,-,-,-,-,"32,19","11,02","15,49","58,70",615,146,269,1030,1981,N/A,N/A,1981,0,N/A,0,0,https://asphaltepd.org/epd/d/P5Ugba/
FAA Mix #3 PG 64-22 W/M 10% Rap ,Flushing Asphalt LLC ,5,5,64-22,10,Warm Mix Additive - Chemical*,< 1%,-,-,densa,WMA,145-150,-,-,-,-,"32,09","8,35","15,49","55,92",612,111,269,992,1981,N/A,N/A,1981,91,N/A,0,91,https://asphaltepd.org/epd/d/1AUKYB/
FAA Mix #3 PG 76-22 ,Flushing Asphalt LLC ,5,5,76-22,-,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,152-168,-,-,-,-,"38,34","11,12","15,49","64,95",708,148,269,1124,1981,N/A,N/A,1981,0,N/A,0,0,https://asphaltepd.org/epd/d/LDURm2/
FAA Mix #3 PG 82-22 ,Flushing Asphalt LLC ,5,5,82-22,-,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,152-168,-,-,-,-,"38,34","11,02","15,49","64,85",708,146,269,1123,1981,N/A,N/A,1981,0,N/A,0,0,https://asphaltepd.org/epd/d/QVUJL2/
PA-5 PG 64-22 ,Flushing Asphalt LLC ,5,5,64-22,-,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,146-163,-,-,-,-,"32,19","11,03","15,49","58,71",615,146,269,1030,1981,N/A,N/A,1981,0,N/A,0,0,https://asphaltepd.org/epd/d/mYUYK2/
PA-5 PG 76-22 ,Flushing Asphalt LLC ,5,5,76-22,-,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,149-157,-,-,-,-,"38,34","11,02","15,49","64,85",708,146,269,1123,1981,N/A,N/A,1981,0,N/A,0,0,https://asphaltepd.org/epd/d/pMUDRM/
Plant Mix PG 64-22 ,Flushing Asphalt LLC ,3,3,64-22,23,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,135-163,-,-,-,-,"18,17","8,55","15,49","42,21",342,113,269,724,1084,N/A,N/A,1084,211,N/A,0,211,https://asphaltepd.org/epd/d/mYUY78/
3RA Binder - 100% RAP ,Green Asphalt ,0,0,64-22,100,Recycling Agents - Parrafinic Oils*,< 1%,Warm Mix Additive - Hybrid technologies*,< 1%,Não reportada,HMA,132-138,-,-,-,-,"0,71","0,10","39,02","39,83",0,1,462,463,0,N/A,N/A,0,907,N/A,0,907,https://asphaltepd.org/epd/d/E3UAeg/
3RA Binder - 50% RAP ,Green Asphalt ,2,2,64-22,49,-,-,-,-,Não reportada,HMA,132-138,-,-,-,-,"12,67","3,38","39,02","55,07",234,44,462,740,744,N/A,N/A,744,445,N/A,0,445,https://asphaltepd.org/epd/d/3JUVEB/
6FRA Top - 100% RAP ,Green Asphalt ,0,0,64-22,100,Recycling Agents - Parrafinic Oils*,< 1%,-,-,Não reportada,HMA,132-138,-,-,-,-,"0,71","0,10","39,02","39,83",0,1,462,463,0,N/A,N/A,0,907,N/A,0,907,https://asphaltepd.org/epd/d/gGUQ79/
6FRA Top - 50% RAP ,Green Asphalt ,2,2,64-22,49,-,-,-,-,densa,HMA,132-138,-,-,-,-,"14,96","4,93","39,02","58,91",279,65,462,805,893,N/A,N/A,893,443,N/A,0,443,https://asphaltepd.org/epd/d/P5Uwe4/
12.5MM<30 (1251) 20% RAP ,"#24 Bedford, NY ",4,4,Não reportado,19,-,-,-,-,Não reportada,HMA,149-163,-,-,-,-,"31,78","6,01","22,69","60,48",584,80,400,1064,1637,N/A,N/A,1637,172,N/A,0,172,https://asphaltepd.org/epd/d/mYUBBB/
12.5mm>30 (1252) 20% RAP ,"#24 Bedford, NY ",3,3,Não reportado,19,-,-,-,-,Não reportada,HMA,149-163,-,-,-,-,"24,22","5,98","22,69","52,89",443,79,400,923,1227,N/A,N/A,1227,175,N/A,0,175,https://asphaltepd.org/epd/d/5mU55x/
37.5MM<30 (3751) 25% RAP ,"#24 Bedford, NY ",3,3,Não reportado,24,-,-,-,-,densa,HMA,149-163,-,-,-,-,"21,42","5,47","22,69","49,58",391,73,400,863,1079,N/A,N/A,1079,220,N/A,0,220,https://asphaltepd.org/epd/d/vZUPPO/
6F3 Top (604) 25% RAP ,"#24 Bedford, NY ",5,5,Não reportado,24,-,-,-,-,densa,HMA,149-163,-,-,-,-,"33,10","5,54","22,69","61,33",609,74,400,1082,1711,N/A,N/A,1711,217,N/A,0,217,https://asphaltepd.org/epd/d/QVU66J/
