Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
"12.5 mm Type A Intermediate, 64-28 - RAP ",Barrett Paving Materials Inc. - Fairborn Plant ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s)*,4,64-28,34,-,-,-,-,densa,HMA,143-152,-,-,-,-,"27,51","1,07","32,11","60,69",504,14,318,836,1413,N/A,N/,1413,306,N/A,0,306,https://asphaltepd.org/epd/d/AKU44k/
"12.5 mm Type A Surface, 70-22 - RAP ",Barrett Paving Materials Inc. - Fairborn Plant ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s)*,5,70-22,14,-,-,-,-,densa,HMA,143-154,-,-,-,-,"36,64","2,22","32,11","70,98",675,29,318,1023,1897,N/A,N/,1897,130,N/A,0,130,https://asphaltepd.org/epd/d/wRU33V/
"12.5 mm Type A Surface, 70-22 - Virgin ",Barrett Paving Materials Inc. - Fairborn Plant ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s)*,6,70-22,-,-,-,-,-,densa,HMA,143-154,-,-,-,-,"42,97","1,63","32,11","76,71",794,22,318,1134,2232,N/A,N/,2232,0,N/A,0,0,https://asphaltepd.org/epd/d/drUJJX/
301 Base ,Barrett Paving Materials Inc. - Fairborn Plant ,Unmodified,3,58-28,39,-,-,-,-,densa,HMA,146-152,-,-,-,-,"17,35","0,28","32,11","49,75",325,4,318,647,1041,N/A,N/,1041,353,N/A,0,353,https://asphaltepd.org/epd/d/V4U33q/
302 Base ,Barrett Paving Materials Inc. - Fairborn Plant ,Unmodified,2,58-28,39,-,-,-,-,densa,HMA,146-152,-,-,-,-,"12,78","0,20","32,11","45,09",237,3,318,557,744,N/A,N/,744,356,N/A,0,356,https://asphaltepd.org/epd/d/MmUbbm/
"9.5 mm Type A, 70-22M - RAP ",Barrett Paving Materials Inc. - Fairborn Plant ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s)*,5,70-22,14,-,-,-,-,densa,HMA,143-154,-,-,-,-,"36,64","2,22","32,11","70,98",675,29,318,1023,1897,N/A,N/,1897,130,N/A,0,130,https://asphaltepd.org/epd/d/eBUMM8/
Type 1 Intermediate - RAP ,Barrett Paving Materials Inc. - Fairborn Plant ,Unmodified,4,58-28,39,-,-,-,-,densa,HMA,146-152,-,-,-,-,"23,64","0,95","32,11","56,70",447,13,318,778,1451,N/A,N/,1451,349,N/A,0,349,https://asphaltepd.org/epd/d/REUxx4/
Type 1 Surface - RAP ,Barrett Paving Materials Inc. - Fairborn Plant ,Unmodified,5,64-22,24,-,-,-,-,densa,HMA,150-154,-,-,-,-,"30,08","1,53","32,11","63,73",573,20,318,911,1860,N/A,N/,1860,216,N/A,0,216,https://asphaltepd.org/epd/d/lyUrrj/
"Type 1 Surface, 70-22M - RAP ",Barrett Paving Materials Inc. - Fairborn Plant ,SBS modified - 3.5% styrene-butadiene-styrene + 1 terminal additive(s)*,5,70-22,24,-,-,-,-,densa,HMA,149-160,-,-,-,-,"35,85","1,53","32,11","69,50",660,20,318,998,1860,N/A,N/,1860,216,N/A,0,216,https://asphaltepd.org/epd/d/zwU99A/
Type 2 Intermediate - RAP ,Barrett Paving Materials Inc. - Fairborn Plant ,Unmodified,3,58-28,39,-,-,-,-,densa,HMA,146-152,-,-,-,-,"18,49","0,93","32,11","51,53",347,12,318,678,1116,N/A,N/,1116,352,N/A,0,352,https://asphaltepd.org/epd/d/74UBB7/
