Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
S3qc0021901200 ,McAlester Asphalt ,5,5,64-22,14,-,-,-,-,densa,HMA,141-163,-,-,-,-,"27,32","6,04","34,98","68,33",520,80,149,749,1674,N/A,N/A,1674,130,N/A,0,130,https://asphaltepd.org/epd/d/keUvQb/
S3qc0022100400 ,McAlester Asphalt ,4,4,64-22,14,-,-,-,-,Não reportada,HMA,141-163,-,-,-,-,"24,46","5,54","34,98","64,98",464,74,149,687,1488,N/A,N/A,1488,131,N/A,0,131,https://asphaltepd.org/epd/d/25Ube6/
S4c00931800900 ,McAlester Asphalt ,5,5,64-22,-,-,-,-,-,densa,HMA,141-163,-,-,-,-,"30,90","10,19","34,98","76,07",590,135,149,874,1897,N/A,N/A,1897,0,N/A,0,0,https://asphaltepd.org/epd/d/qmU6Ol/
S4qc0022200500 ,McAlester Asphalt ,6,6,64-22,-,-,-,-,-,densa,HMA,141-163,-,-,-,-,"33,75","6,57","34,98","75,30",645,87,149,881,2083,N/A,N/A,2083,0,N/A,0,0,https://asphaltepd.org/epd/d/DdUG1L/
S5qc0022000601 ,McAlester Asphalt ,6,6,64-22,-,-,-,-,-,densa,HMA,141-163,-,-,-,-,"35,47","6,38","34,98","76,82",678,85,149,912,2194,N/A,N/A,2194,0,N/A,0,0,https://asphaltepd.org/epd/d/j5UQwP/
211115 ,Muskogee Asphalt ,4,4,64-22,14,-,-,-,-,densa,HMA,141-163,-,-,-,-,"26,75","2,35","27,98","57,08",509,31,74,614,1637,N/A,N/A,1637,130,N/A,0,130,https://asphaltepd.org/epd/d/QVUJQX/
ACR001-16 ,Muskogee Asphalt ,5,5,64-22,16,-,-,-,-,densa,HMA,141-163,-,-,-,-,"28,44","2,57","27,98","58,99",541,34,74,649,1748,N/A,N/A,1748,147,N/A,0,147,https://asphaltepd.org/epd/d/J5UjVr/
B4pv0442201100 ,Muskogee Asphalt ,5,5,64-22,16,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,141-163,-,-,-,-,"31,88","2,22","27,98","62,08",608,29,74,711,1972,N/A,N/A,1972,146,N/A,0,146,https://asphaltepd.org/epd/d/3JUl98/
Rlpv0261800500 ,Muskogee Asphalt ,7,7,76-28,-,-,-,-,-,densa,HMA,152-174,-,-,-,-,"49,83","11,99","27,98","89,80",922,159,74,1155,2604,N/A,N/A,2604,0,N/A,0,0,https://asphaltepd.org/epd/d/aRUdYj/
S3c00932100300 ,Muskogee Asphalt ,4,4,64-22,14,-,-,-,-,densa,HMA,141-163,-,-,-,-,"25,60","2,78","27,98","56,36",486,37,74,597,1562,N/A,N/A,1562,130,N/A,0,130,https://asphaltepd.org/epd/d/gGUJDv/
S4c00932101300 ,Muskogee Asphalt ,5,5,64-22,-,Warm Mix Additive - Chemical*,< 1%,-,-,densa,HMA,141-163,-,-,-,-,"32,62","2,90","27,98","63,50",623,39,74,735,2009,N/A,N/A,2009,0,N/A,0,0,https://asphaltepd.org/epd/d/vZUzE8/
ACR001-16 ,Roberts Asphalt ,5,5,64-22,16,-,-,-,-,densa,HMA,141-163,-,-,-,-,"28,44","1,16","29,30","58,90",541,15,503,1060,1748,N/A,N/A,1748,147,N/A,0,147,https://asphaltepd.org/epd/d/XZU2r4/
S4qc0021800200 ,Roberts Asphalt ,6,6,76-28,-,-,-,-,-,densa,HMA,152-174,-,-,-,-,"39,53","2,48","29,30","71,31",730,33,503,1266,2046,N/A,N/A,2046,0,N/A,0,0,https://asphaltepd.org/epd/d/rQUrK4/
S4qc0022100800 ,Roberts Asphalt ,5,5,64-22,-,Warm Mix Additive - Chemical*,< 1%,-,-,densa,HMA,141-163,-,-,-,-,"32,62","2,13","29,30","64,05",623,28,503,1154,2009,N/A,N/A,2009,0,N/A,0,0,https://asphaltepd.org/epd/d/KoUJBm/
213000 ,Tulsa 129th East Avenue Asphalt ,3,3,64-22,19,-,-,-,-,densa,HMA,141-163,-,-,-,-,"19,27","0,82","25,54","45,63",363,11,329,704,1153,N/A,N/A,1153,176,N/A,0,176,https://asphaltepd.org/epd/d/ZXUEgZ/
213005 ,Tulsa 129th East Avenue Asphalt ,4,4,64-22,19,-,-,-,-,densa,HMA,141-163,-,-,-,-,"24,41","0,80","25,54","50,75",463,11,329,803,1488,N/A,N/A,1488,174,N/A,0,174,https://asphaltepd.org/epd/d/YqUmQw/
213010 ,Tulsa 129th East Avenue Asphalt ,5,5,64-22,14,-,-,-,-,densa,HMA,141-163,-,-,-,-,"27,89","0,78","25,54","54,21",531,10,329,870,1711,N/A,N/A,1711,130,N/A,0,130,https://asphaltepd.org/epd/d/BZUyrY/
