Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
"1/2"" LV2 64-28 30 ",Westland ,PPA Modified - up to 1% polyphosphoric acid,4,64-28,29,-,-,-,-,densa,HMA,161-166,-,-,-,-,"26,71","0,40","24,25","51,36",504,5,280,789,1599,N/A,N/A,1599,260,N/A,0,260,https://asphaltepd.org/epd/d/74Up4/
"1/2"" LV2 70-28 30 ",Westland ,SBS modified - 3.5% styrene-butadiene-styrene,4,70-28,29,-,-,-,-,densa,HMA,161-166,-,-,-,-,"29,61","0,38","24,25","54,24",543,5,280,828,1525,N/A,N/A,1525,261,N/A,0,261,https://asphaltepd.org/epd/d/drUPy/
"1/2"" LV3 64-28 30 ",Westland ,PPA Modified - up to 1% polyphosphoric acid,4,64-28,29,-,-,-,-,Não reportada,HMA,161-166,-,-,-,-,"25,53","0,38","24,25","50,17",481,5,280,766,1525,N/A,N/A,1525,261,N/A,0,261,https://asphaltepd.org/epd/d/eBUA9/
"1/2"" LV3 70-28 30 ",Westland ,SBS modified - 3.5% styrene-butadiene-styrene,4,70-28,29,-,-,-,-,densa,HMA,165-169,-,-,-,-,"30,99","0,40","24,25","55,64",569,5,280,854,1599,N/A,N/A,1599,260,N/A,0,260,https://asphaltepd.org/epd/d/wRUwz/
"1/2"" LV4 70-28ER with 0.5% Evotherm ",Westland ,SBS modified - 3.5% styrene-butadiene-styrene,5,70-28,19,-,-,Warm Mix Additive - Zeolites (aluminosilicates)*,< 1%,densa,HMA,167-173,-,-,-,-,"34,88","0,45","24,25","59,59",642,6,280,928,1805,N/A,N/A,1805,173,N/A,0,173,https://asphaltepd.org/epd/d/QVU7RK/
"3/8"" LV2 64-28 30 ",Westland ,PPA Modified - up to 1% polyphosphoric acid,5,64-28,29,-,-,-,-,densa,HMA,161-166,-,-,-,-,"30,82","0,46","24,25","55,54",583,6,280,869,1860,N/A,N/A,1860,259,N/A,0,259,https://asphaltepd.org/epd/d/AKUlK/
"1/2"" ODOT Level 3 ",Hermiston Asphalt ,Unmodified,4,64-22,30,-,-,-,-,densa,HMA,133-166,-,-,-,-,"22,58","0,35","19,91","42,84",427,5,341,773,1376,N/A,N/A,1376,272,N/A,0,272,https://asphaltepd.org/epd/d/QVUJ1d/
"3/8"" ODOT Level 2 ",Hermiston Asphalt ,Unmodified,5,64-22,30,-,-,-,-,densa,HMA,138-163,-,-,-,-,"27,15","1,59","19,91","48,65",516,21,341,878,1674,N/A,N/A,1674,272,N/A,0,272,https://asphaltepd.org/epd/d/keU1VV/
B2013.03(2022) ,Lone Pine ,SBS modified - 3.5% styrene-butadiene-styrene,4,64-28,24,-,-,-,-,densa,HMA,149-166,-,-,-,-,"31,73","0,20","25,17","57,09",583,3,288,874,1637,N/A,N/A,1637,217,N/A,0,217,https://asphaltepd.org/epd/d/LDURXk/
5037-OCMM300TX ,Redmond Asphalt Plant ,PPA Modified - up to 1% polyphosphoric acid,6,64-28,28,-,-,-,-,densa,HMA,150-155,-,-,-,-,"33,76","3,30","15,57","52,63",640,44,269,953,2046,N/A,N/A,2046,257,N/A,0,257,https://asphaltepd.org/epd/d/P5URkQ/
5037-OCMM300TX ,Redmond Asphalt Plant ,PPA Modified - up to 1% polyphosphoric acid,6,64-28,28,-,-,-,-,densa,HMA,150-155,-,-,-,-,"33,76","3,09","15,57","52,43",640,41,269,950,2046,N/A,N/A,2046,257,N/A,0,257,https://asphaltepd.org/epd/d/aRUqbe/
5307-OCGL142T ,Redmond Asphalt Plant ,PPA Modified - up to 1% polyphosphoric acid,6,Não reportado,12,-,-,-,-,Não reportada,HMA,154-160,-,-,3,-,"33,97","4,37","15,57","53,91",643,58,269,970,2046,N/A,N/A,2046,137,N/A,0,137,https://asphaltepd.org/epd/d/mYUPro/
5307-OCGL142T ,Redmond Asphalt Plant ,PPA Modified - up to 1% polyphosphoric acid,6,Não reportado,12,-,-,-,-,Não reportada,HMA,154-160,-,-,3,-,"33,97","4,57","15,57","54,11",643,61,269,973,2046,N/A,N/A,2046,137,N/A,0,137,https://asphaltepd.org/epd/d/o8UXpB/
OR52D3000 ,Coffee Lake Asphalt Plant ,Unmodified,6,64-22,30,-,-,-,-,densa,HMA,151-156,-,-,-,-,"35,28","0,99","13,01","49,27",671,13,230,914,2194,N/A,N/A,2194,338,N/A,0,338,https://asphaltepd.org/epd/d/1AUa2A/
OR53D3000 ,Coffee Lake Asphalt Plant ,Unmodified,6,64-22,30,-,-,-,-,densa,HMA,149-155,-,-,-,-,"34,13","0,98","13,01","48,12",649,13,230,892,2120,N/A,N/A,2120,335,N/A,0,335,https://asphaltepd.org/epd/d/xPU3w7/
OR54D20000 ,Coffee Lake Asphalt Plant ,Unmodified,6,70-22,20,-,-,-,-,densa,HMA,160-166,-,-,-,-,"33,66","4,79","13,01","51,45",640,64,230,934,2083,N/A,N/A,2083,239,N/A,0,239,https://asphaltepd.org/epd/d/o8UKL7/
OR53D30000 ,Sundial Asphalt Plant ,Unmodified,6,64-22,30,-,-,-,-,densa,HMA,152-157,-,-,-,-,"32,98","1,79","10,00","44,76",627,23,176,826,2046,N/A,N/A,2046,332,N/A,0,332,https://asphaltepd.org/epd/d/V4UPGY/
OR53D30000 ,Sundial Asphalt Plant ,Unmodified,5,64-22,30,-,-,-,-,densa,HMA,151-156,-,-,-,-,"31,84","1,78","10,00","43,62",604,23,176,804,1971,N/A,N/A,1971,330,N/A,0,330,https://asphaltepd.org/epd/d/YqU53g/
OR54D20000 ,Sundial Asphalt Plant ,Unmodified,5,70-22,20,-,-,-,-,densa,HMA,163-169,-,-,-,-,"31,37","2,03","10,00","43,39",596,27,176,798,1934,N/A,N/A,1934,238,N/A,0,238,https://asphaltepd.org/epd/d/74U5GR/
