Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
CA-W1912101 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),4,64-22,15,-,-,-,-,densa,WMA,138-160,-,-,-,-,"21,60","3,43","22,93","47,96",409,45,376,830,1302,N/A,N/A,1302,136,N/A,0,136,https://asphaltepd.org/epd/d/rQUMq1/
CA-W1912103 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),4,64-22,15,-,-,-,-,densa,WMA,138-160,-,-,-,-,"21,60","4,17","22,93","48,70",409,55,376,840,1302,N/A,N/A,1302,136,N/A,0,136,https://asphaltepd.org/epd/d/KoUGgD/
CA-W1912201 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),3,64-22,20,-,-,-,-,densa,WMA,138-160,-,-,-,-,"20,40","3,60","22,93","46,94",385,48,376,809,1227,N/A,N/A,1227,181,N/A,0,181,https://asphaltepd.org/epd/d/1AUjQm/
CA-W1912203 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),3,64-22,20,-,-,-,-,densa,WMA,138-160,-,-,-,-,"20,40","4,11","22,93","47,45",385,55,376,816,1227,N/A,N/A,1227,181,N/A,0,181,https://asphaltepd.org/epd/d/rQUMgd/
CA-W1972101 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),4,64-22,15,-,-,-,-,densa,WMA,138-160,-,-,-,-,"21,60","3,36","22,93","47,89",409,45,376,830,1302,N/A,N/A,1302,136,N/A,0,136,https://asphaltepd.org/epd/d/3JUa2Y/
CA-W1972103 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),4,64-22,15,-,-,-,-,densa,WMA,138-160,-,-,-,-,"21,60","4,08","22,93","48,61",409,54,376,839,1302,N/A,N/A,1302,136,N/A,0,136,https://asphaltepd.org/epd/d/E3UDVm/
CA-W1972201 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),3,64-22,20,-,-,-,-,densa,WMA,138-160,-,-,-,-,"20,40","3,39","22,93","46,73",385,45,376,807,1227,N/A,N/A,1227,181,N/A,0,181,https://asphaltepd.org/epd/d/KoUGrM/
CA-W1972203 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),3,64-22,20,-,-,-,-,densa,WMA,138-160,-,-,-,-,"20,40","4,03","22,93","47,37",385,53,376,815,1227,N/A,N/A,1227,181,N/A,0,181,https://asphaltepd.org/epd/d/xPUda3/
CA-W2512101 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),3,64-22,15,-,-,-,-,densa,WMA,138-160,-,-,-,-,"19,89","3,52","22,93","46,34",375,47,376,799,1190,N/A,N/A,1190,136,N/A,0,136,https://asphaltepd.org/epd/d/1AUjJG/
CA-W2512102 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),3,64-22,15,-,-,-,-,densa,WMA,138-160,-,-,-,-,"19,89","3,90","22,93","46,72",375,52,376,804,1190,N/A,N/A,1190,136,N/A,0,136,https://asphaltepd.org/epd/d/mYUYE2/
CA-W2512201 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),3,64-22,20,-,-,-,-,Não reportada,WMA,138-160,-,-,-,-,"18,69","3,43","22,93","45,05",352,46,376,774,1116,N/A,N/A,1116,181,N/A,0,181,https://asphaltepd.org/epd/d/YqU3lm/
CA-W2512202 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),3,64-22,20,-,-,-,-,densa,WMA,138-160,-,-,-,-,"18,69","3,85","22,93","45,48",352,51,376,780,1116,N/A,N/A,1116,181,N/A,0,181,https://asphaltepd.org/epd/d/3JUa4V/
CA-W2572101 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),3,64-22,15,-,-,-,-,densa,WMA,138-160,-,-,-,-,"19,89","3,42","22,93","46,24",375,45,376,797,1190,N/A,N/A,1190,136,N/A,0,136,https://asphaltepd.org/epd/d/E3UD2D/
CA-W2572102 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),3,64-22,15,-,-,-,-,densa,WMA,138-160,-,-,-,-,"19,89","3,78","22,93","46,60",375,50,376,802,1190,N/A,N/A,1190,136,N/A,0,136,https://asphaltepd.org/epd/d/KoUG1a/
CA-W2572201 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),3,64-22,20,-,-,-,-,Não reportada,WMA,138-160,-,-,-,-,"18,69","3,32","22,93","44,95",352,44,376,773,1116,N/A,N/A,1116,181,N/A,0,181,https://asphaltepd.org/epd/d/XZUm1e/
CA-W2572202 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),3,64-22,20,-,-,-,-,densa,WMA,138-160,-,-,-,-,"18,69","3,73","22,93","45,35",352,50,376,778,1116,N/A,N/A,1116,181,N/A,0,181,https://asphaltepd.org/epd/d/9JUa2K/
CA-W95121H1 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),5,64-22,15,-,-,-,-,densa,WMA,138-160,-,-,-,-,"27,88","3,63","22,93","54,44",531,48,376,955,1711,N/A,N/A,1711,136,N/A,0,136,https://asphaltepd.org/epd/d/REUklq/
CA-W95121H3 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),5,64-22,15,-,-,-,-,densa,WMA,138-160,-,-,-,-,"27,88","4,30","22,93","55,12",531,57,376,964,1711,N/A,N/A,1711,136,N/A,0,136,https://asphaltepd.org/epd/d/zwUkgw/
CA-W95122H1 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),4,64-22,20,-,-,-,-,densa,WMA,138-160,-,-,-,-,"26,69","3,62","22,93","53,24",507,48,376,932,1637,N/A,N/A,1637,181,N/A,0,181,https://asphaltepd.org/epd/d/wRUeyP/
CA-W95122H3 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),4,64-22,20,-,-,-,-,densa,WMA,138-160,-,-,-,-,"26,69","4,24","22,93","53,86",507,56,376,940,1637,N/A,N/A,1637,181,N/A,0,181,https://asphaltepd.org/epd/d/J5U8rQ/
CA-W95721H1 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),5,64-22,15,-,-,-,-,densa,WMA,138-160,-,-,-,-,"27,88","3,66","22,93","54,47",531,49,376,955,1711,N/A,N/A,1711,136,N/A,0,136,https://asphaltepd.org/epd/d/5mUvMM/
CA-W95721H3 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),5,64-22,15,-,-,-,-,densa,WMA,138-160,-,-,-,-,"27,88","4,21","22,93","55,03",531,56,376,963,1711,N/A,N/A,1711,136,N/A,0,136,https://asphaltepd.org/epd/d/QVUGPg/
CA-W95722H1 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),4,64-22,20,-,-,-,-,densa,WMA,138-160,-,-,-,-,"26,69","3,58","22,93","53,20",507,47,376,931,1637,N/A,N/A,1637,181,N/A,0,181,https://asphaltepd.org/epd/d/3JUaqk/
CA-W95722H3 ,Coatesville Asphalt Plant ,Unmodified + 1 terminal additive(s),4,64-22,20,-,-,-,-,densa,WMA,138-160,-,-,-,-,"26,69","4,16","22,93","53,78",507,55,376,939,1637,N/A,N/A,1637,181,N/A,0,181,https://asphaltepd.org/epd/d/E3UD64/
W1972104 ,Erie ,Unmodified,4,64-22,15,Ingevity Evotherm M1,< 1%,-,-,densa,WMA,132-160,-,-,-,-,"34,39","31,65","26,24","92,27",633,415,451,1499,1346,N/A,N/A,1346,137,N/A,0,137,https://asphaltepd.org/epd/d/YqUzDJ/
W1972204 ,Erie ,Unmodified,3,64-22,25,Ingevity Evotherm M1,< 1%,-,-,densa,WMA,132-160,-,-,-,-,"30,86","28,01","26,24","85,11",564,368,451,1383,1122,N/A,N/A,1122,228,N/A,0,228,https://asphaltepd.org/epd/d/85UoLg/
