Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
3263501 341 B ,Plant 02 Amarillo ,Unmodified,4,64-28,14,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"23,20","6,95","21,86","52,01",438,92,374,904,1343,N/A,N/A,1343,129,N/A,0,129,https://asphaltepd.org/epd/d/P5UkkR/
3263502 3076 D ,Plant 02 Amarillo ,Unmodified,5,64-28,11,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"28,95","9,12","21,86","59,93",550,121,374,1044,1714,N/A,N/A,1714,96,N/A,0,96,https://asphaltepd.org/epd/d/gGU556/
3272507 341 B ,Plant 02 Amarillo ,Unmodified,4,64-22,11,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"28,27","8,82","21,86","58,94",536,117,374,1027,1670,N/A,N/A,1670,96,N/A,0,96,https://asphaltepd.org/epd/d/3JU66x/
3463507 DG D ,Plant 02 Amarillo ,Unmodified,5,64-22,14,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"30,52","5,90","21,86","58,28",580,78,374,1032,1819,N/A,N/A,1819,123,N/A,0,123,https://asphaltepd.org/epd/d/E3Udda/
3465512 SP D ,Plant 02 Amarillo ,Unmodified,5,70-28,18,Ingevity Evotherm M1,< 1%,-,-,aberta,HMA,149-163,-,-,-,-,"28,87","5,58","21,86","56,30",548,74,374,995,1714,N/A,N/A,1714,167,N/A,0,167,https://asphaltepd.org/epd/d/KoUaaA/
3465516 3076 D ,Plant 02 Amarillo ,Unmodified,5,70-28,10,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"31,42","7,59","21,86","60,86",597,101,374,1072,1874,N/A,N/A,1874,88,N/A,0,88,https://asphaltepd.org/epd/d/XZUDDa/
3472510 3076 D ,Plant 02 Amarillo ,Unmodified,5,64-28,14,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"30,52","4,94","21,86","57,32",580,66,374,1019,1819,N/A,N/A,1819,123,N/A,0,123,https://asphaltepd.org/epd/d/rQUDD9/
3252513 Ty B ,Plant 03 Denison ,Unmodified,4,64-22,14,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"26,06","9,19","31,06","66,30",493,122,535,1150,1528,N/A,N/A,1528,129,N/A,0,129,https://asphaltepd.org/epd/d/J5UxxX/
3352512 341 Ty C ,Plant 03 Denison ,Unmodified,5,64-22,19,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"28,93","9,04","31,06","69,02",551,120,535,1206,1782,N/A,N/A,1782,173,N/A,0,173,https://asphaltepd.org/epd/d/aRUbd7/
3352516 3076 Ty C ,Plant 03 Denison ,Unmodified,4,64-22,10,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"27,26","9,47","31,06","67,78",519,126,535,1179,1666,N/A,N/A,1666,87,N/A,0,87,https://asphaltepd.org/epd/d/vZUPzO/
