Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
3016 ,Cottonwood AC Plant ,3,3,58-28,34,-,-,-,-,densa,HMA,143-166,-,-,-,-,"19,12","1,11","19,21","39,44",360,15,318,692,1153,N/A,N/A,1153,308,N/A,0,308,https://asphaltepd.org/epd/d/xPU3K9/
3486 ,Cottonwood AC Plant ,4,4,58-28,29,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,149-166,-,-,-,-,"27,40","1,53","19,21","48,14",484,20,318,823,1525,N/A,N/A,1525,261,N/A,0,261,https://asphaltepd.org/epd/d/j5U8bK/
3508 ,Cottonwood AC Plant ,4,4,64-34,24,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,143-160,-,-,-,-,"37,51","1,76","19,21","58,49",536,23,318,877,1525,N/A,N/A,1525,218,N/A,0,218,https://asphaltepd.org/epd/d/qmUEvQ/
3776 ,Cottonwood AC Plant ,5,5,64-34,14,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,146-166,-,-,-,-,"40,47","1,94","19,21","61,63",593,26,318,937,1711,N/A,N/A,1711,130,N/A,0,130,https://asphaltepd.org/epd/d/BZUo8r/
3886 ,Cottonwood AC Plant ,5,5,58-28,14,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,143-163,-,-,-,-,"31,55","1,78","19,21","52,54",565,24,318,907,1785,N/A,N/A,1785,130,N/A,0,130,https://asphaltepd.org/epd/d/6QUbkd/
3949 ,Cottonwood AC Plant ,5,5,58-28,14,-,-,-,-,densa,HMA,146-163,-,-,-,-,"27,32","1,61","19,21","48,14",520,21,318,859,1674,N/A,N/A,1674,130,N/A,0,130,https://asphaltepd.org/epd/d/keU3mK/
3016 ,West Haven ,4,4,58-28,34,-,-,-,-,densa,HMA,149-166,-,-,-,-,"21,40","1,83","16,27","39,50",404,24,277,705,1302,N/A,N/A,1302,307,N/A,0,307,https://asphaltepd.org/epd/d/74U5PM/
3776 ,West Haven ,5,5,58-28,13,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,149-166,-,-,-,-,"40,55","2,67","16,27","59,49",602,35,277,914,1748,N/A,N/A,1748,121,N/A,0,121,https://asphaltepd.org/epd/d/rQUr12/
3873 ,West Haven ,4,4,64-34,24,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,149-166,-,-,-,-,"38,68","2,39","16,27","57,34",564,32,277,872,1625,N/A,N/A,1625,217,N/A,0,217,https://asphaltepd.org/epd/d/XZU2yP/
3875 ,West Haven ,5,5,58-28,14,-,-,-,-,densa,HMA,149-166,-,-,-,-,"27,32","2,37","16,27","45,95",520,31,277,828,1674,N/A,N/A,1674,130,N/A,0,130,https://asphaltepd.org/epd/d/drUYvE/
3886 ,West Haven ,5,5,58-28,14,-,-,-,-,densa,HMA,149-165,-,-,-,-,"29,78","2,53","16,27","48,57",567,34,277,878,1834,N/A,N/A,1834,130,N/A,0,130,https://asphaltepd.org/epd/d/lyU3vM/
260073 ,Centerfield Plant ,4,4,64-34,24,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,154-160,-,-,-,-,"39,03","3,38","21,16","63,57",549,45,357,951,1358,N/A,N/A,1358,218,N/A,0,218,https://asphaltepd.org/epd/d/j5UOPj/
271074 ,Centerfield Plant ,4,4,64-34,24,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,154-160,-,-,-,-,"40,40","2,02","21,16","63,58",574,27,357,959,1432,N/A,N/A,1432,218,N/A,0,218,https://asphaltepd.org/epd/d/6QUweY/
275201 ,Centerfield Plant ,4,4,52-34,29,-,-,-,-,densa,HMA,149-154,-,-,-,-,"23,17","1,15","21,16","45,48",439,15,357,811,1413,N/A,N/A,1413,262,N/A,0,262,https://asphaltepd.org/epd/d/qmU4AO/
215202 ,Brigham Asphalt Plant ,5,5,58-28,15,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,145-149,-,-,-,-,"31,03","0,32","15,66","47,01",555,4,270,830,1752,N/A,N/A,1752,136,N/A,0,136,https://asphaltepd.org/epd/d/o8UXMZ/
220093 ,Brigham Asphalt Plant ,4,4,58-28,15,-,-,-,-,densa,HMA,145-149,-,-,-,-,"24,46","0,20","15,66","40,32",464,3,270,737,1488,N/A,N/A,1488,136,N/A,0,136,https://asphaltepd.org/epd/d/mYUPVE/
