Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
6047-2023-05 ,Fredericksburg Asphalt Plant ,3,3,64-22,30,-,-,-,-,densa,HMA,149-177,-,-,-,-,"20,87","4,46","20,76","46,09",394,59,349,802,1265,N/A,N/A,1265,272,N/A,0,272,https://asphaltepd.org/epd/d/V4UP2P/
6047-2023-24 ,Fredericksburg Asphalt Plant ,4,4,64-22,30,-,-,-,-,densa,HMA,149-177,-,-,-,-,"26,58","4,46","20,76","51,80",505,59,349,913,1637,N/A,N/A,1637,272,N/A,0,272,https://asphaltepd.org/epd/d/ZXUX7O/
BM-25.0A ,Boxley Lynchburg ,3,3,Não reportado,25,Antistrip Agents - Amidoamines*,< 1%,-,-,Não reportada,WMA,171-200,-,-,-,-,"20,35","1,81","22,19","44,36",384,24,380,788,1228,N/A,N/A,1228,228,N/A,0,228,https://asphaltepd.org/epd/d/KoUGRo/
IM-19.0A ,Boxley Lynchburg ,4,4,Não reportado,25,Antistrip Agents - Amidoamines*,< 1%,-,-,Não reportada,WMA,171-200,-,-,-,-,"22,07","2,62","22,19","46,88",417,35,380,832,1339,N/A,N/A,1339,227,N/A,0,227,https://asphaltepd.org/epd/d/gGUGqw/
SM-12.5E ,Boxley Lynchburg ,5,5,Não reportado,14,Antistrip Agents - Amidoamines*,< 1%,-,-,Não reportada,WMA,171-200,-,-,-,-,"29,90","2,75","22,19","54,84",570,37,380,986,1841,N/A,N/A,1841,129,N/A,0,129,https://asphaltepd.org/epd/d/3JUaR9/
SM-9.5A ,Boxley Lynchburg ,4,4,Não reportado,25,Antistrip Agents - Amidoamines*,< 1%,-,-,Não reportada,WMA,171-200,-,-,-,-,"26,64","2,14","22,19","50,98",506,28,380,914,1637,N/A,N/A,1637,226,N/A,0,226,https://asphaltepd.org/epd/d/E3UDYv/
SM-9.5A Non-Polishing ,Boxley Lynchburg ,4,4,Não reportado,25,Antistrip Agents - Amidoamines*,< 1%,-,-,Não reportada,WMA,171-200,-,-,-,-,"26,64","2,31","22,19","51,14",506,31,380,916,1637,N/A,N/A,1637,226,N/A,0,226,https://asphaltepd.org/epd/d/P5Uy59/
BM-25.0A ,Boxley Salem ,3,3,Não reportado,25,Antistrip Agents - Polyamines*,< 1%,-,-,Não reportada,WMA,171-200,-,-,-,-,"20,35","3,51","23,04","46,90",384,47,389,820,1228,N/A,N/A,1228,228,N/A,0,228,https://asphaltepd.org/epd/d/bBUQOE/
IM-19.0A ,Boxley Salem ,4,4,Não reportado,25,Antistrip Agents - Polyamines*,< 1%,-,-,Não reportada,WMA,171-200,-,-,-,-,"22,64","3,50","23,04","49,18",428,46,389,864,1376,N/A,N/A,1376,227,N/A,0,227,https://asphaltepd.org/epd/d/GZUd8y/
SM-9.5AL ,Boxley Salem ,5,5,Não reportado,25,Antistrip Agents - Polyamines*,< 1%,-,-,Não reportada,HMA,171-200,-,-,-,-,"27,21","3,49","23,04","53,74",517,46,389,953,1674,N/A,N/A,1674,225,N/A,0,225,https://asphaltepd.org/epd/d/pMUEwX/
SM-9.5D ,Boxley Salem ,4,4,Não reportado,25,Antistrip Agents - Polyamines*,< 1%,-,-,Não reportada,WMA,171-200,-,-,-,-,"26,07","7,13","23,04","56,24",495,95,389,979,1600,N/A,N/A,1600,226,N/A,0,226,https://asphaltepd.org/epd/d/4RUkm4/
SMA-12.5 ,Boxley Salem ,7,7,Não reportado,-,Antistrip Agents - Polyamines*,< 1%,"Fibers, natural - Cellulose*",< 1%,Não reportada,WMA,171-200,-,-,-,-,"38,90","13,02","23,04","74,96",745,173,389,1307,2418,N/A,N/A,2418,0,N/A,0,0,https://asphaltepd.org/epd/d/ZXUwAD/
BM-25.0A - WMA ,Centreville ,3,3,64-22,34,-,-,Warm Mix Additive - Zeolites (aluminosilicates)*,< 1%,densa,WMA,177-200,-,-,-,-,"18,09","0,94","15,95","34,97",340,12,274,626,1086,N/A,N/A,1086,308,N/A,0,308,https://asphaltepd.org/epd/d/85UMGQ/
IM-19.0A - WMA ,Centreville ,4,4,64-22,29,-,-,Warm Mix Additive - Zeolites (aluminosilicates)*,< 1%,densa,WMA,177-200,-,-,-,-,"21,46","1,04","15,95","38,45",405,14,274,693,1302,N/A,N/A,1302,263,N/A,0,263,https://asphaltepd.org/epd/d/YqU3Bg/
SM-12.5A - WMA ,Centreville ,4,4,64-22,29,-,-,Warm Mix Additive - Zeolites (aluminosilicates)*,< 1%,densa,WMA,177-200,-,-,-,-,"23,00","1,07","15,95","40,02",435,14,274,723,1403,N/A,N/A,1403,262,N/A,0,262,https://asphaltepd.org/epd/d/BZU655/
SM-9.5A - WMA ,Centreville ,4,4,64-22,29,-,-,Warm Mix Additive - Zeolites (aluminosilicates)*,< 1%,densa,WMA,177-200,-,-,-,-,"24,71","1,10","15,95","41,76",469,15,274,757,1514,N/A,N/A,1514,261,N/A,0,261,https://asphaltepd.org/epd/d/xPUdE7/
SMA-9.5E ,Centreville ,6,6,76-22,8,-,-,Warm Mix Additive - Zeolites (aluminosilicates)*,< 1%,aberta,WMA,168-200,-,-,-,"1, 12","42,86","3,26","15,95","62,06",792,43,274,1109,2231,N/A,N/A,2231,77,N/A,0,77,https://asphaltepd.org/epd/d/25ULaK/
BM-25.0A - WMA ,Spotsylvania ,3,3,64-22,29,-,-,Warm Mix Additive - Zeolites (aluminosilicates)*,< 1%,densa,WMA,121-177,-,-,-,-,"20,32","3,00","22,65","45,98",383,40,85,508,1228,N/A,N/A,1228,263,N/A,0,263,https://asphaltepd.org/epd/d/P5UkKb/
IM-19.0A - WMA ,Spotsylvania ,4,4,64-22,29,-,-,Warm Mix Additive - Zeolites (aluminosilicates)*,< 1%,densa,WMA,121-177,-,-,-,-,"21,46","2,51","22,65","46,63",405,33,85,523,1302,N/A,N/A,1302,263,N/A,0,263,https://asphaltepd.org/epd/d/aRUbPJ/
SM-12.5A - WMA ,Spotsylvania ,4,4,64-22,29,-,-,Warm Mix Additive - Zeolites (aluminosilicates)*,< 1%,densa,WMA,121-177,-,-,-,-,"24,31","1,06","22,65","48,02",461,14,85,559,1488,N/A,N/A,1488,261,N/A,0,261,https://asphaltepd.org/epd/d/3JU6k2/
SM-12.5E ,Spotsylvania ,5,5,76-22,14,-,-,Warm Mix Additive - Zeolites (aluminosilicates)*,< 1%,densa,WMA,141-168,-,-,-,-,"34,58","1,45","22,65","58,68",637,19,85,740,1785,N/A,N/A,1785,130,N/A,0,130,https://asphaltepd.org/epd/d/J5Ux4j/
SM-9.5A - WMA ,Spotsylvania ,4,4,64-22,29,-,-,Warm Mix Additive - Zeolites (aluminosilicates)*,< 1%,densa,WMA,121-177,-,-,-,-,"25,45","1,08","22,65","49,18",483,14,85,582,1562,N/A,N/A,1562,261,N/A,0,261,https://asphaltepd.org/epd/d/5mU5Oq/
SM 9.5A WM (9005-2022-78 WM) ,Chantilly Plant ,4,4,64-22,29,Antistrip Agents - Organo-silanes*,< 1%,-,-,densa,WMA,177-200,-,-,-,-,"26,37","0,59","15,18","42,14",501,8,261,769,1622,N/A,N/A,1622,260,N/A,0,260,https://asphaltepd.org/epd/d/drU3lJ/
BM 25.0A ,Glade Spring ,5,5,64-22,35,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,143-171,-,-,-,-,"27,10","1,21","24,82","53,14",515,16,57,587,1674,N/A,N/A,1674,318,N/A,0,318,https://asphaltepd.org/epd/d/LDUde2/
SM 12.5A ,Glade Spring ,6,6,64-22,26,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,143-171,-,-,-,-,"32,91","3,37","24,82","61,11",628,45,57,729,2046,N/A,N/A,2046,236,N/A,0,236,https://asphaltepd.org/epd/d/rQUrpx/
SM 12.5E ,Glade Spring ,5,5,76-22,12,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,149-177,-,-,-,-,"38,03","2,83","24,82","65,68",701,38,57,795,1971,N/A,N/A,1971,109,N/A,0,109,https://asphaltepd.org/epd/d/KoUJza/
SM 19.0A ,Glade Spring ,5,5,64-22,26,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,143-171,-,-,-,-,"29,48","3,23","24,82","57,53",561,43,57,660,1823,N/A,N/A,1823,236,N/A,0,236,https://asphaltepd.org/epd/d/OPUDeo/
SM 9.5AL ,Glade Spring ,6,6,64-22,15,Antistrip Agents - Amidoamines*,< 1%,-,-,densa,HMA,143-171,-,-,-,-,"33,03","1,49","24,82","59,34",630,20,57,707,2046,N/A,N/A,2046,136,N/A,0,136,https://asphaltepd.org/epd/d/aRUdLk/
