Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
HMA2023-021 ,Rocky Reach ,4,4,76-28,19,-,-,-,-,densa,HMA,166-171,-,-,-,-,"31,09","1,55","24,07","56,71",571,21,407,999,1599,N/A,N/A,1599,174,N/A,0,174,https://asphaltepd.org/epd/d/mYUPBE/
"Mix 1 - 1/2"" HMA PG64-22 ",Singer Asphalt ,4,4,64-22,26,-,-,-,-,densa,HMA,149-163,-,-,-,-,"24,34","1,09","23,20","48,63",461,14,399,875,1488,N/A,N/A,1488,236,N/A,0,236,https://asphaltepd.org/epd/d/zwU9O1/
Mix 49 - 1/2 HMA PG64-22 ,Singer Asphalt ,4,4,64-22,20,-,-,-,-,densa,HMA,149-163,-,-,-,-,"24,40","1,10","23,20","48,71",463,15,399,877,1488,N/A,N/A,1488,181,N/A,0,181,https://asphaltepd.org/epd/d/mYUrR5/
"Mix 58- 1/2"" HMA 58H-22 ",Smith Island ,4,4,64-22,39,-,-,-,-,densa,HMA,132-166,-,-,-,-,"21,35","2,63","17,46","41,44",403,35,307,744,1302,N/A,N/A,1302,354,N/A,0,354,https://asphaltepd.org/epd/d/j5UgBo/
"Mix 62 - 1/2"" HMA 58H-22 ",Smith Island ,4,4,64-22,20,-,-,-,-,densa,HMA,142-163,-,-,-,-,"25,55","3,95","17,46","46,96",485,53,307,844,1562,N/A,N/A,1562,181,N/A,0,181,https://asphaltepd.org/epd/d/BZUVgR/
"Auburn Commercial 1/2"" HMA MD200012 ",Auburn ,4,4,64-22,25,-,-,-,-,Não reportada,HMA,152-168,-,-,-,-,"26,64","0,13","23,62","50,39",506,2,406,914,1637,N/A,N/A,1637,227,N/A,0,227,https://asphaltepd.org/epd/d/AKUv2d/
Auburn MD200031 PG58H-22 ,Auburn ,4,4,64-22,20,-,-,-,-,Não reportada,HMA,152-168,-,-,-,-,"26,69","0,14","23,62","50,45",507,2,406,915,1637,N/A,N/A,1637,181,N/A,0,181,https://asphaltepd.org/epd/d/drUYkQ/
Auburn MD210014 PG58H-22 ,Auburn ,6,6,64-22,19,-,-,-,-,other,HMA,153-159,-,-,-,-,"37,04","0,19","23,62","60,85",708,2,406,1117,2310,N/A,N/A,2310,170,N/A,0,170,https://asphaltepd.org/epd/d/74Uvz2/
Auburn MD210015 PG58V-22 ,Auburn ,5,5,70-22,16,-,-,-,-,Não reportada,HMA,157-170,-,-,-,-,"31,42","0,16","23,62","55,19",599,2,406,1007,1942,N/A,N/A,1942,143,N/A,0,143,https://asphaltepd.org/epd/d/wRUrpp/
Auburn MD220032 PG58H-22 ,Auburn ,5,5,64-22,16,-,-,-,-,other,HMA,141-158,-,-,-,-,"29,02","0,47","23,62","53,10",553,6,406,965,1785,N/A,N/A,1785,144,N/A,0,144,https://asphaltepd.org/epd/d/J5UOG6/
Auburn MD220033 PG58H-22 ,Auburn ,5,5,64-22,16,-,-,-,-,other,HMA,152-158,-,-,-,-,"32,90","0,53","23,62","57,05",628,7,406,1041,2038,N/A,N/A,2038,143,N/A,0,143,https://asphaltepd.org/epd/d/5mUKzl/
Auburn MD220042 PG58V-22 ,Auburn ,5,5,70-22,16,-,-,-,-,Não reportada,HMA,164-170,-,-,-,-,"28,50","0,14","23,62","52,26",543,2,406,951,1752,N/A,N/A,1752,144,N/A,0,144,https://asphaltepd.org/epd/d/LDUxYX/
"Seattle Commercial 1/2"" HMA MD200012 ",Seattle ,4,4,64-22,30,-,-,-,-,Não reportada,HMA,177-200,-,-,-,-,"26,58","3,36","20,06","50,00",505,45,343,892,1637,N/A,N/A,1637,272,N/A,0,272,https://asphaltepd.org/epd/d/YqU5xg/
Seattle MD200031 PG58H-22 ,Seattle ,4,4,64-22,20,-,-,-,-,Não reportada,HMA,177-200,-,-,-,-,"26,69","3,82","20,06","50,57",507,51,343,901,1637,N/A,N/A,1637,181,N/A,0,181,https://asphaltepd.org/epd/d/aRUq7z/
Seattle MD210014 PG58H-22 ,Seattle ,5,5,64-22,16,-,-,-,-,Não reportada,HMA,153-159,-,-,-,-,"31,42","0,51","20,06","51,98",599,7,343,949,1942,N/A,N/A,1942,143,N/A,0,143,https://asphaltepd.org/epd/d/3JUVwX/
Seattle MD210015 PG58V-22 ,Seattle ,5,5,70-22,16,-,-,-,-,Não reportada,HMA,167-173,-,-,-,-,"31,42","0,16","20,06","51,63",599,2,343,944,1942,N/A,N/A,1942,143,N/A,0,143,https://asphaltepd.org/epd/d/KoUyVp/
Seattle MD220032 PG58H-22 ,Seattle ,5,5,64-22,16,-,-,-,-,other,HMA,152-158,-,-,-,-,"29,02","0,15","20,06","49,22",553,2,343,897,1785,N/A,N/A,1785,144,N/A,0,144,https://asphaltepd.org/epd/d/QVU7ma/
Seattle MD220033 PG58H-22 ,Seattle ,5,5,64-22,16,-,-,-,-,Não reportada,HMA,152-158,-,-,-,-,"32,90","0,53","20,06","53,49",628,7,343,978,2038,N/A,N/A,2038,143,N/A,0,143,https://asphaltepd.org/epd/d/P5UwXd/
Seattle MD220042 PG58V-22 ,Seattle ,5,5,70-22,16,-,-,-,-,other,HMA,164-170,-,-,-,-,"28,50","0,14","20,06","48,70",543,2,343,887,1752,N/A,N/A,1752,144,N/A,0,144,https://asphaltepd.org/epd/d/gGUQbz/
"1/2"" 100 64-22 30 ",Richland ,4,4,64-22,29,-,-,-,-,densa,WMA,142-147,-,-,-,-,"25,45","0,35","20,58","46,38",483,5,235,722,1562,N/A,N/A,1562,261,N/A,0,261,https://asphaltepd.org/epd/d/J5UAJ/
"1/2"" 100 64-28 20 ",Richland ,4,4,64-28,19,-,-,-,-,densa,WMA,147-152,-,-,-,-,"25,05","0,95","20,58","46,58",472,13,235,720,1488,N/A,N/A,1488,174,N/A,0,174,https://asphaltepd.org/epd/d/vZUg2/
"1/2"" 100 64H-28 20 ",Richland ,4,4,70-28,19,-,-,-,-,densa,WMA,146-151,-,-,-,-,"29,03","0,95","20,58","50,56",533,13,235,780,1488,N/A,N/A,1488,174,N/A,0,174,https://asphaltepd.org/epd/d/BZUx3/
